ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
31	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116569568	116569636	116569919	116570023	116567297	116567481	116571284	116571346
32	"ENSMUSG00000006005.19"	"Tpr"	chr1	+	150270949	150271054	150274350	150274424	150269000	150269409	150278005	150278102
33	"ENSMUSG00000072770.10"	"Acrbp"	chr6	+	125028205	125028323	125030452	125030915	125027809	125027904	125031635	125031768
34	"ENSMUSG00000102805.6"	"Gm37240"	chr3	-	84422939	84423097	84426788	84427010	84417114	84417289	84434992	84435105
35	"ENSMUSG00000050241.9"	"Klre1"	chr6	+	129556880	129557080	129558964	129559066	129554867	129555328	129559354	129559393
36	"ENSMUSG00000007812.17"	"Zfp655"	chr5	+	145170250	145170412	145179729	145179834	145168532	145168641	145180384	145184112
37	"ENSMUSG00000021051.11"	"Ppp2r5e"	chr12	-	75531905	75531998	75540187	75540289	75516505	75516636	75562375	75562572
38	"ENSMUSG00000021051.11"	"Ppp2r5e"	chr12	-	75540187	75540289	75562375	75562572	75531905	75531998	75639942	75640106
39	"ENSMUSG00000038831.17"	"Ralgps1"	chr2	-	33036581	33036665	33045299	33045351	33035409	33035515	33047783	33047941
40	"ENSMUSG00000038831.17"	"Ralgps1"	chr2	-	33214664	33214715	33226524	33226632	33174836	33174920	33230724	33230845
41	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14714059	14714245	14716651	14716823	14710851	14710966	14721099	14721180
42	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14716651	14716823	14721099	14721180	14710851	14710966	14723125	14723252
43	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14716651	14716823	14721099	14721180	14714059	14714245	14723125	14723252
44	"ENSMUSG00000033106.7"	"Slc7a6os"	chr8	-	106930962	106931172	106936996	106937263	106928862	106928983	106937350	106937565
45	"ENSMUSG00000060550.17"	"H2-Q7"	chr17	+	35661242	35661527	35661653	35661770	35658884	35659160	35661942	35661975
46	"ENSMUSG00000022607.19"	"Ptk2"	chr15	-	73231874	73232186	73263607	73263729	73214981	73215208	73266496	73266593
47	"ENSMUSG00000014748.14"	"Tex261"	chr6	-	83749223	83749291	83750691	83750845	83745866	83748285	83751999	83752079
48	"ENSMUSG00000004268.12"	"Emg1"	chr6	-	124682120	124682179	124682703	124682805	124681901	124682051	124688838	124689141
49	"ENSMUSG00000063458.14"	"Lrmda"	chr14	+	22734896	22734960	22878756	22878850	22646492	22646610	23106022	23106153
50	"ENSMUSG00000022969.14"	"Il10rb"	chr16	+	91204505	91204629	91208770	91208928	91203122	91203260	91211500	91211667
51	"ENSMUSG00000047694.13"	"Yipf6"	chrX	+	97983727	97983806	97984392	97984435	97983378	97983507	97986383	97986512
52	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35122724	35122828	35124081	35124197	35120299	35120383	35127024	35127205
53	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35124081	35124197	35127024	35127205	35120299	35120383	35127624	35127792
54	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35124081	35124197	35127024	35127205	35122724	35122828	35127624	35127792
55	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68924784	68924862	68925709	68925774	68924008	68924097	68926330	68926496
56	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68924784	68924862	68925709	68925774	68924192	68924367	68926330	68926496
57	"ENSMUSG00000059475.14"	"Zfp426"	chr9	-	20384323	20384404	20389428	20389454	20382994	20383077	20397625	20397733
58	"ENSMUSG00000059475.14"	"Zfp426"	chr9	-	20384323	20384404	20389428	20389550	20382994	20383077	20397625	20397733
59	"ENSMUSG00000059447.14"	"Hadhb"	chr5	+	30383637	30383717	30383794	30383842	30381885	30382007	30384549	30384637
60	"ENSMUSG00000059447.14"	"Hadhb"	chr5	+	30383794	30383842	30384549	30384637	30383637	30383717	30385312	30385387
61	"ENSMUSG00000059447.14"	"Hadhb"	chr5	+	30384549	30384637	30385312	30385387	30383794	30383842	30385918	30386083
62	"ENSMUSG00000041488.17"	"Stx3"	chr19	-	11760163	11760274	11760389	11760500	11758960	11759044	11762753	11762888
63	"ENSMUSG00000041488.17"	"Stx3"	chr19	-	11767411	11767457	11769109	11769209	11766920	11766995	11780857	11780941
64	"ENSMUSG00000029014.15"	"Dnajc2"	chr5	-	21965363	21965471	21966538	21966723	21962269	21962917	21968443	21968513
65	"ENSMUSG00000038515.11"	"Grtp1"	chr8	-	13229322	13229508	13229582	13229755	13225161	13227142	13236882	13236979
66	"ENSMUSG00000024743.17"	"Syt7"	chr19	+	10399120	10399252	10400148	10400376	10395326	10395406	10403662	10404031
67	"ENSMUSG00000024743.17"	"Syt7"	chr19	+	10399120	10399252	10400148	10400376	10395326	10395406	10412913	10413049
68	"ENSMUSG00000024743.17"	"Syt7"	chr19	+	10400148	10400376	10403662	10404031	10395326	10395406	10407701	10407824
69	"ENSMUSG00000024743.17"	"Syt7"	chr19	+	10400148	10400376	10403662	10404031	10399120	10399252	10407701	10407824
70	"ENSMUSG00000068744.13"	"Psrc1"	chr3	+	108292285	108292724	108293608	108293723	108291689	108291747	108293815	108294052
71	"ENSMUSG00000024158.18"	"Hagh"	chr17	+	25072605	25072670	25075611	25075729	25071704	25071880	25076489	25076598
72	"ENSMUSG00000024158.18"	"Hagh"	chr17	+	25075611	25075729	25076489	25076598	25071704	25071880	25079919	25080023
73	"ENSMUSG00000024158.18"	"Hagh"	chr17	+	25075611	25075729	25076489	25076598	25072605	25072670	25079919	25080023
74	"ENSMUSG00000024158.18"	"Hagh"	chr17	+	25076489	25076598	25080286	25080388	25071704	25071880	25082650	25082730
75	"ENSMUSG00000024158.18"	"Hagh"	chr17	+	25076489	25076598	25079919	25080023	25075611	25075729	25080286	25080388
76	"ENSMUSG00000024158.18"	"Hagh"	chr17	+	25079919	25080023	25080286	25080388	25076489	25076598	25082650	25082730
77	"ENSMUSG00000024158.18"	"Hagh"	chr17	+	25079919	25080023	25082650	25082730	25076489	25076598	25083166	25083424
78	"ENSMUSG00000024158.18"	"Hagh"	chr17	+	25080286	25080388	25082650	25082730	25076489	25076598	25083166	25083424
79	"ENSMUSG00000024158.18"	"Hagh"	chr17	+	25080286	25080388	25082650	25082730	25079919	25080023	25083166	25083424
80	"ENSMUSG00000004558.16"	"Ndrg2"	chr14	-	52144146	52144182	52144405	52144453	52143969	52144021	52144702	52144754
81	"ENSMUSG00000076498.3"	"Trbc2"	chr6	+	41524543	41524561	41524705	41524812	41523663	41524038	41525094	41525286
82	"ENSMUSG00000015396.5"	"Cd83"	chr13	+	43951008	43951204	43953077	43953184	43938821	43938943	43955032	43956608
83	"ENSMUSG00000037570.17"	"Mcrs1"	chr15	-	99147248	99147387	99147756	99147895	99146582	99146741	99149742	99149826
84	"ENSMUSG00000037570.17"	"Mcrs1"	chr15	-	99147248	99147387	99148343	99148463	99146582	99146741	99149742	99149842
85	"ENSMUSG00000035620.16"	"Ric8b"	chr10	+	84783275	84783884	84793879	84793974	84761409	84761457	84805726	84805955
86	"ENSMUSG00000035620.16"	"Ric8b"	chr10	+	84827983	84828128	84837645	84837765	84815911	84816056	84850939	84852311
87	"ENSMUSG00000014470.5"	"Rnf166"	chr8	-	123194700	123194808	123194978	123195093	123192885	123193973	123195352	123195465
88	"ENSMUSG00000022881.16"	"Rfc4"	chr16	-	22939658	22939738	22943285	22943364	22936693	22936813	22946149	22946291
89	"ENSMUSG00000022881.16"	"Rfc4"	chr16	-	22943285	22943364	22946149	22946291	22939658	22939738	22946434	22946467
90	"ENSMUSG00000004633.18"	"Chn2"	chr6	+	54267251	54267425	54270022	54270100	54263078	54263163	54272768	54272906
91	"ENSMUSG00000004633.18"	"Chn2"	chr6	+	54267251	54267425	54270022	54270100	54263078	54263163	54275029	54275135
92	"ENSMUSG00000004633.18"	"Chn2"	chr6	+	54270022	54270100	54272768	54272906	54267251	54267425	54275029	54275135
93	"ENSMUSG00000004633.18"	"Chn2"	chr6	+	54270022	54270100	54275029	54275135	54267251	54267425	54277057	54277229
94	"ENSMUSG00000028062.16"	"Lamtor2"	chr3	-	88458002	88458092	88459661	88459824	88457125	88457311	88460102	88460331
95	"ENSMUSG00000028062.16"	"Lamtor2"	chr3	-	88458002	88458092	88459661	88459824	88457126	88457311	88460036	88460166
96	"ENSMUSG00000006526.14"	"Stimate"	chr14	+	30592707	30592820	30593437	30593515	30588579	30588701	30594506	30594656
97	"ENSMUSG00000021493.16"	"Pdlim7"	chr13	-	55654118	55654180	55655142	55655179	55653746	55653981	55655300	55655437
98	"ENSMUSG00000021493.16"	"Pdlim7"	chr13	-	55655676	55655693	55656020	55656139	55655300	55655437	55656592	55656623
99	"ENSMUSG00000020882.18"	"Cacnb1"	chr11	-	97901452	97901472	97902168	97902323	97901121	97901202	97902691	97902768
100	"ENSMUSG00000041827.16"	"Oasl1"	chr5	+	115070781	115071023	115073979	115074127	115067898	115068062	115074976	115075971
101	"ENSMUSG00000026333.15"	"Gin1"	chr1	+	97705050	97705244	97710918	97710957	97697921	97697980	97712477	97712669
102	"ENSMUSG00000032534.19"	"Cep63"	chr9	-	102465906	102466186	102467526	102467732	102463776	102464211	102471706	102471793
103	"ENSMUSG00000032534.19"	"Cep63"	chr9	-	102484524	102484638	102490493	102490616	102480040	102480274	102492473	102492569
104	"ENSMUSG00000032534.19"	"Cep63"	chr9	-	102498894	102498927	102500754	102500792	102496890	102496959	102503102	102503180
105	"ENSMUSG00000000916.16"	"Nsun5"	chr5	+	135399044	135399167	135400351	135400460	135398806	135398930	135402807	135402946
106	"ENSMUSG00000039599.17"	"Fam149b"	chr14	+	20401379	20401484	20402771	20402907	20398229	20398462	20406422	20406565
107	"ENSMUSG00000039599.17"	"Fam149b"	chr14	+	20402771	20402907	20406422	20406565	20401379	20401484	20408091	20408208
108	"ENSMUSG00000039599.17"	"Fam149b"	chr14	+	20406422	20406565	20408091	20408208	20402771	20402907	20413330	20413518
109	"ENSMUSG00000039599.17"	"Fam149b"	chr14	+	20406422	20406565	20424397	20424522	20402771	20402907	20425577	20425681
110	"ENSMUSG00000039599.17"	"Fam149b"	chr14	+	20408091	20408208	20413330	20413518	20406422	20406565	20424397	20424522
111	"ENSMUSG00000039599.17"	"Fam149b"	chr14	+	20409822	20409984	20413330	20413518	20408091	20408208	20424397	20424522
112	"ENSMUSG00000086587.9"	"Gm11837"	chr4	+	14942199	14942275	14947438	14947545	14936440	14936539	14952620	14953031
113	"ENSMUSG00000015478.14"	"Rnf5"	chr17	-	34820714	34820832	34820907	34820962	34820064	34820640	34821058	34821171
114	"ENSMUSG00000060063.10"	"Alox5ap"	chr5	+	149209190	149209290	149215985	149216056	149201576	149201992	149222153	149222235
115	"ENSMUSG00000060063.10"	"Alox5ap"	chr5	+	149209190	149209290	149222153	149222235	149201576	149201992	149224381	149224963
116	"ENSMUSG00000014177.11"	"Tvp23b"	chr11	+	62775901	62775991	62777014	62777146	62774452	62774597	62782767	62782896
117	"ENSMUSG00000014177.11"	"Tvp23b"	chr11	+	62777014	62777146	62782767	62782896	62775901	62775991	62784947	62786011
118	"ENSMUSG00000032939.15"	"Nup93"	chr8	+	95007898	95007961	95013116	95013245	94970281	94970399	95019295	95019370
119	"ENSMUSG00000024818.16"	"Slc25a45"	chr19	+	5928634	5928719	5929876	5929920	5927853	5928123	5930112	5930184
120	"ENSMUSG00000024818.16"	"Slc25a45"	chr19	+	5928634	5928719	5930467	5930653	5927853	5928123	5934372	5934631
121	"ENSMUSG00000024818.16"	"Slc25a45"	chr19	+	5929876	5929920	5930112	5930184	5927844	5928719	5930467	5930653
122	"ENSMUSG00000028479.19"	"Gne"	chr4	-	44040253	44040436	44041662	44041884	44038946	44039063	44042162	44042292
123	"ENSMUSG00000028479.19"	"Gne"	chr4	-	44052770	44052983	44055204	44055357	44045902	44045990	44059775	44060227
124	"ENSMUSG00000028479.19"	"Gne"	chr4	-	44055204	44055357	44059775	44060227	44052770	44052983	44066754	44066960
125	"ENSMUSG00000028479.19"	"Gne"	chr4	-	44059775	44060227	44066754	44066960	44055204	44055357	44072361	44072778
126	"ENSMUSG00000028479.19"	"Gne"	chr4	-	44059775	44060227	44066754	44066960	44055204	44055357	44084047	44084177
127	"ENSMUSG00000037300.20"	"Ttc13"	chr8	-	125421568	125421679	125426394	125426460	125417015	125417098	125436641	125436712
128	"ENSMUSG00000043510.13"	"Hscb"	chr5	-	110978801	110978849	110982520	110982665	110976935	110977077	110983845	110983935
129	"ENSMUSG00000043510.13"	"Hscb"	chr5	-	110982520	110982665	110983845	110983935	110978801	110978849	110984172	110984269
130	"ENSMUSG00000043510.13"	"Hscb"	chr5	-	110982520	110982665	110984172	110984269	110978801	110978849	110987361	110987643
131	"ENSMUSG00000071657.13"	"Bscl2"	chr19	+	8823829	8823927	8824769	8824911	8823553	8823688	8825030	8825097
132	"ENSMUSG00000071657.13"	"Bscl2"	chr19	+	8824769	8824911	8825030	8825097	8823829	8823927	8825277	8825346
133	"ENSMUSG00000031392.19"	"Irak1"	chrX	-	73059011	73059107	73060153	73060303	73057531	73057731	73060735	73061117
134	"ENSMUSG00000031392.19"	"Irak1"	chrX	-	73060153	73060303	73060735	73061117	73057519	73059107	73061735	73061972
135	"ENSMUSG00000031392.19"	"Irak1"	chrX	-	73060153	73060303	73060735	73061036	73059045	73059107	73061735	73061972
136	"ENSMUSG00000031392.19"	"Irak1"	chrX	-	73060735	73061117	73061735	73061972	73060153	73060303	73063505	73063571
137	"ENSMUSG00000062825.16"	"Actg1"	chr11	-	120237736	120238175	120238688	120238701	120237462	120237644	120238794	120238923
138	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44507586	44507633	44507876	44508173	44506582	44506978	44509146	44509226
139	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44507586	44507633	44509146	44509226	44506582	44506978	44509311	44509369
140	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44507876	44508173	44509146	44509226	44506582	44506978	44509311	44509369
141	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44507876	44508173	44509311	44509369	44506765	44506978	44509783	44509855
142	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44507876	44508173	44509146	44509226	44507586	44507633	44509311	44509369
143	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44507876	44508173	44509311	44509369	44507586	44507633	44509783	44509855
144	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44509311	44509369	44510286	44510335	44506582	44506978	44510412	44510483
145	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44509311	44509369	44509783	44509855	44507876	44508173	44510286	44510335
146	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44509500	44509608	44509783	44509855	44509311	44509369	44510286	44510335
147	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44509500	44509608	44509783	44509855	44509311	44509369	44510412	44510483
148	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44509500	44509608	44510286	44510335	44509311	44509369	44510412	44510483
149	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44509783	44509855	44510286	44510335	44509311	44509369	44510412	44510483
150	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44509783	44509855	44510286	44510335	44509500	44509608	44510412	44510483
151	"ENSMUSG00000002963.18"	"Pnkp"	chr7	+	44510570	44510663	44510741	44510838	44510412	44510483	44510923	44510985
152	"ENSMUSG00000031105.17"	"Slc25a14"	chrX	+	47712838	47713074	47714472	47714517	47712454	47712705	47718128	47718222
153	"ENSMUSG00000058076.13"	"Sdhc"	chr1	-	170963561	170963725	170966262	170966324	170954733	170957474	170971126	170971228
154	"ENSMUSG00000058076.13"	"Sdhc"	chr1	-	170966262	170966324	170971126	170971228	170954733	170957474	170973324	170973381
155	"ENSMUSG00000058076.13"	"Sdhc"	chr1	-	170966262	170966324	170971126	170971228	170963561	170963725	170973324	170973381
156	"ENSMUSG00000066677.13"	"Ifi208"	chr1	+	173506495	173506602	173510230	173511184	173505243	173505528	173518232	173518300
157	"ENSMUSG00000092463.2"	"Gm20489"	chrX	-	100309235	100309332	100309786	100309949	100308981	100309048	100310583	100310726
158	"ENSMUSG00000092463.2"	"Gm20489"	chrX	-	100309786	100309949	100310583	100310726	100309235	100309332	100310916	100311101
159	"ENSMUSG00000028156.13"	"Eif4e"	chr3	+	138233028	138233075	138252081	138252188	138231939	138232055	138253419	138253515
160	"ENSMUSG00000028156.13"	"Eif4e"	chr3	+	138252081	138252188	138253419	138253515	138233028	138233075	138256023	138256087
161	"ENSMUSG00000028156.13"	"Eif4e"	chr3	+	138253419	138253515	138256023	138256087	138252081	138252188	138256653	138256767
162	"ENSMUSG00000030726.17"	"Pold3"	chr7	-	99745579	99745742	99748670	99748743	99742578	99742688	99749626	99749888
163	"ENSMUSG00000035268.15"	"Pkig"	chr2	+	163501069	163501155	163545405	163545475	163500396	163500579	163563047	163563221
164	"ENSMUSG00000035268.15"	"Pkig"	chr2	+	163545405	163545475	163563047	163563221	163500396	163500579	163567376	163567711
165	"ENSMUSG00000035268.15"	"Pkig"	chr2	+	163545405	163545475	163563047	163563221	163501069	163501155	163567376	163567608
166	"ENSMUSG00000035268.15"	"Pkig"	chr2	+	163545405	163545475	163563047	163563221	163535957	163536076	163567376	163568072
167	"ENSMUSG00000026172.13"	"Bcs1l"	chr1	+	74629423	74629618	74629829	74629893	74629118	74629258	74630118	74630288
168	"ENSMUSG00000026172.13"	"Bcs1l"	chr1	+	74629829	74629893	74630118	74630288	74629423	74629618	74630747	74630865
169	"ENSMUSG00000026158.12"	"Ogfrl1"	chr1	-	23415251	23415330	23417806	23417885	23405504	23409529	23418052	23418139
170	"ENSMUSG00000060261.17"	"Gtf2i"	chr5	-	134303392	134303449	134308290	134308368	134295396	134295510	134311640	134311684
171	"ENSMUSG00000003808.19"	"Farsa"	chr8	+	85591065	85591181	85594005	85594090	85587940	85588059	85594177	85594277
172	"ENSMUSG00000020283.6"	"Pex13"	chr11	-	23600929	23601055	23605435	23606130	23596478	23599590	23615746	23615959
173	"ENSMUSG00000028409.12"	"Smu1"	chr4	-	40753486	40753597	40754507	40754660	40751924	40752053	40755626	40755837
174	"ENSMUSG00000021485.15"	"Mxd3"	chr13	-	55476426	55476456	55477081	55477187	55476182	55476297	55477410	55477571
175	"ENSMUSG00000029433.17"	"Diablo"	chr5	-	123655799	123655896	123656017	123656128	123649767	123650770	123658103	123658235
176	"ENSMUSG00000029433.17"	"Diablo"	chr5	-	123656017	123656128	123658103	123658235	123649767	123650770	123661317	123661444
177	"ENSMUSG00000029433.17"	"Diablo"	chr5	-	123656017	123656128	123658103	123658235	123655648	123655896	123661317	123661444
178	"ENSMUSG00000029433.17"	"Diablo"	chr5	-	123658103	123658235	123661317	123661444	123653865	123656128	123662133	123662199
179	"ENSMUSG00000057058.17"	"Skap1"	chr11	+	96380648	96380754	96416868	96416894	96355418	96355576	96432210	96432312
180	"ENSMUSG00000057058.17"	"Skap1"	chr11	+	96432210	96432312	96593434	96593512	96380648	96380754	96594888	96594972
181	"ENSMUSG00000057058.17"	"Skap1"	chr11	+	96593434	96593512	96594888	96594972	96432210	96432312	96599391	96599516
182	"ENSMUSG00000057058.17"	"Skap1"	chr11	+	96594888	96594972	96599391	96599516	96432210	96432312	96601685	96601749
183	"ENSMUSG00000057058.17"	"Skap1"	chr11	+	96594888	96594972	96599391	96599516	96593434	96593512	96601685	96601749
184	"ENSMUSG00000057058.17"	"Skap1"	chr11	+	96594888	96594972	96614175	96614223	96593434	96593512	96621950	96622051
185	"ENSMUSG00000057058.17"	"Skap1"	chr11	+	96603842	96604028	96621950	96622051	96601685	96601749	96644856	96644965
186	"ENSMUSG00000057058.17"	"Skap1"	chr11	+	96603842	96604028	96621950	96622051	96601685	96601749	96649447	96649956
187	"ENSMUSG00000021290.7"	"Atp5mpl"	chr12	-	111928866	111928890	111929663	111929787	111927808	111927972	111933357	111933411
188	"ENSMUSG00000030760.15"	"Acer3"	chr7	-	97875605	97875707	97893155	97893214	97873118	97873223	97901096	97901132
189	"ENSMUSG00000030760.15"	"Acer3"	chr7	-	97893155	97893214	97901096	97901132	97875605	97875707	97906902	97906984
190	"ENSMUSG00000030760.15"	"Acer3"	chr7	-	97906902	97906984	97908611	97908664	97875605	97875707	97910793	97910846
191	"ENSMUSG00000030760.15"	"Acer3"	chr7	-	97908611	97908664	97910793	97910846	97906902	97906984	97915343	97915454
192	"ENSMUSG00000026385.17"	"Dbi"	chr1	-	120044115	120044178	120047624	120047742	120041009	120041263	120048674	120048808
193	"ENSMUSG00000064120.15"	"Mocs1"	chr17	+	49746449	49746614	49756127	49756189	49742122	49742290	49756462	49756574
194	"ENSMUSG00000016541.11"	"Atxn10"	chr15	+	85243654	85243846	85249477	85249560	85220445	85220781	85259522	85259619
195	"ENSMUSG00000006818.6"	"Sod2"	chr17	+	13227070	13227273	13229406	13229523	13226703	13226955	13232319	13232499
196	"ENSMUSG00000006818.6"	"Sod2"	chr17	+	13229406	13229523	13232319	13232499	13227070	13227273	13233912	13239021
197	"ENSMUSG00000026496.12"	"Parp1"	chr1	+	180416214	180416347	180416962	180417158	180415923	180415992	180418782	180418911
198	"ENSMUSG00000029649.11"	"Pomp"	chr5	+	147799362	147799460	147805532	147805593	147797270	147797501	147806221	147806323
199	"ENSMUSG00000029649.11"	"Pomp"	chr5	+	147805532	147805593	147806221	147806323	147799362	147799460	147812273	147812331
200	"ENSMUSG00000055436.19"	"Srsf11"	chr3	-	157718416	157718512	157719588	157719678	157717946	157718085	157721958	157722090
201	"ENSMUSG00000055436.19"	"Srsf11"	chr3	-	157719588	157719678	157721958	157722090	157718416	157718512	157723446	157723528
202	"ENSMUSG00000055436.19"	"Srsf11"	chr3	-	157732361	157732495	157737088	157737285	157728477	157728587	157742152	157742276
203	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44127002	44127208	44127635	44127687	44125772	44126223	44130520	44130751
204	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44127635	44127687	44130520	44130751	44127002	44127208	44139007	44139081
205	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44130520	44130751	44139007	44139095	44127635	44127687	44141059	44141117
206	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44130520	44130751	44140626	44140682	44127635	44127687	44141059	44141117
207	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44130520	44130751	44139007	44139161	44127635	44127687	44141059	44141522
208	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44130520	44130751	44141059	44141117	44127635	44127687	44141487	44141551
209	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44130520	44130751	44139007	44139081	44127635	44127687	44141487	44141598
210	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44130520	44130751	44139007	44139161	44127635	44127687	44141487	44141601
211	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44139007	44139095	44140626	44140682	44127635	44127687	44141059	44141117
212	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44139007	44139095	44141059	44141117	44127635	44127687	44141487	44141583
213	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44139007	44139095	44141059	44141117	44130520	44130751	44141487	44141583
214	"ENSMUSG00000003848.15"	"Nob1"	chr8	-	108144945	108145074	108145331	108145403	108144687	108144858	108148113	108148244
215	"ENSMUSG00000003848.15"	"Nob1"	chr8	-	108145331	108145403	108148113	108148244	108144945	108145074	108151369	108151502
216	"ENSMUSG00000003848.15"	"Nob1"	chr8	-	108148113	108148244	108151369	108151502	108145331	108145403	108151597	108151681
