ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
22	"ENSMUSG00000062818.8"	"Vmn1r51"	chr6	+	90099577	90099793	90099577	90099654	90101638	90101747
23	"ENSMUSG00000062818.8"	"Vmn1r51"	chr6	+	90099577	90099793	90099577	90099654	90101642	90101747
24	"ENSMUSG00000053093.17"	"Myh7"	chr14	-	55231789	55232083	55231967	55232083	55231044	55231082
25	"ENSMUSG00000058239.14"	"Usf2"	chr7	-	30655224	30655425	30655305	30655425	30654714	30654865
26	"ENSMUSG00000051747.16"	"Ttn"	chr2	-	76724967	76725246	76725003	76725246	76724485	76724767
27	"ENSMUSG00000038412.9"	"Higd1a"	chr9	-	121685503	121685651	121685515	121685651	121681556	121681671
28	"ENSMUSG00000038412.9"	"Higd1a"	chr9	-	121685503	121685651	121685515	121685651	121681556	121681675
29	"ENSMUSG00000045482.17"	"Trrap"	chr5	+	144776210	144776439	144776210	144776406	144777147	144777413
30	"ENSMUSG00000031429.15"	"Psmd10"	chrX	-	139852895	139853062	139852974	139853062	139849177	139850058
31	"ENSMUSG00000032423.13"	"Syncrip"	chr9	-	88345007	88345213	88345112	88345213	88344288	88344438
32	"ENSMUSG00000040928.16"	"S100pbp"	chr4	-	129076001	129076325	129076124	129076325	129075759	129075893
33	"ENSMUSG00000073434.13"	"Wdr90"	chr17	-	26079628	26079791	26079682	26079791	26079345	26079516
34	"ENSMUSG00000040563.14"	"Plppr2"	chr9	+	21858241	21858364	21858241	21858348	21858676	21858728
35	"ENSMUSG00000029817.12"	"Tra2a"	chr6	-	49222409	49222544	49222415	49222544	49221801	49221869
36	"ENSMUSG00000030557.18"	"Mef2a"	chr7	-	66999596	66999669	66999616	66999669	66966539	66966730
37	"ENSMUSG00000032280.17"	"Tle3"	chr9	+	61301889	61301994	61301889	61301964	61309134	61309339
38	"ENSMUSG00000032280.17"	"Tle3"	chr9	+	61316556	61316698	61316556	61316689	61317217	61317402
39	"ENSMUSG00000032280.17"	"Tle3"	chr9	+	61316556	61316689	61316556	61316662	61317217	61317417
40	"ENSMUSG00000032280.17"	"Tle3"	chr9	+	61316556	61316698	61316556	61316662	61317217	61317417
41	"ENSMUSG00000032280.17"	"Tle3"	chr9	+	61317217	61317417	61317217	61317402	61318544	61318621
42	"ENSMUSG00000079020.10"	"Slc45a4"	chr15	-	73459369	73459573	73459393	73459573	73457867	73458934
43	"ENSMUSG00000027381.17"	"Bcl2l11"	chr2	+	127970539	127970934	127970539	127970676	127989004	127989114
44	"ENSMUSG00000073728.11"	"Tmem51os1"	chr4	+	141812991	141813124	141812991	141813042	141813690	141813869
45	"ENSMUSG00000023755.11"	"Rhebl1"	chr15	-	98777645	98777725	98777657	98777725	98777285	98777368
46	"ENSMUSG00000022510.15"	"Trp63"	chr16	+	25684824	25684961	25684824	25684949	25686916	25686999
47	"ENSMUSG00000074766.11"	"Ism1"	chr2	+	139520097	139520727	139520097	139520706	139573789	139574020
48	"ENSMUSG00000029055.18"	"Plch2"	chr4	-	155095095	155095441	155095323	155095441	155093447	155093594
49	"ENSMUSG00000002059.19"	"Rab34"	chr11	+	78082033	78082115	78082033	78082091	78082190	78082281
50	"ENSMUSG00000004654.7"	"Ghrhr"	chr6	+	55361716	55361819	55361716	55361808	55362378	55362508
51	"ENSMUSG00000092203.9"	"1110038B12Rik"	chr17	-	35171090	35171149	35171111	35171149	35170860	35170901
52	"ENSMUSG00000059327.10"	"Eda"	chrX	+	99439280	99439436	99439280	99439419	99440510	99444366
53	"ENSMUSG00000057554.14"	"Lgals8"	chr13	-	12468138	12468285	12468165	12468285	12467602	12467659
54	"ENSMUSG00000002028.14"	"Kmt2a"	chr9	-	44745194	44745317	44745203	44745317	44744157	44744342
55	"ENSMUSG00000024985.21"	"Tcf7l2"	chr19	+	55899010	55899113	55899010	55899101	55900990	55901077
56	"ENSMUSG00000060030.6"	"Olfr317"	chr11	-	58628982	58629196	58629069	58629196	58625073	58625198
57	"ENSMUSG00000030924.17"	"Rexo5"	chr7	+	119426525	119426602	119426525	119426599	119427314	119427429
58	"ENSMUSG00000022801.14"	"Lrch3"	chr16	+	32799765	32799914	32799765	32799830	32802197	32802274
59	"ENSMUSG00000036561.10"	"Ppp6r2"	chr15	+	89137221	89137464	89137221	89137453	89140865	89141052
60	"ENSMUSG00000020218.12"	"Wif1"	chr10	+	120931903	120931999	120931903	120931957	120932545	120932641
61	"ENSMUSG00000021219.17"	"Rgs6"	chr12	+	82664272	82664505	82664272	82664336	82698582	82698686
62	"ENSMUSG00000115020.2"	"Vmn1r218"	chr13	+	23317324	23317532	23317324	23317466	23320060	23330282
63	"ENSMUSG00000115020.2"	"Vmn1r218"	chr13	+	23317324	23317532	23317324	23317466	23320866	23330282
64	"ENSMUSG00000031026.16"	"Trim66"	chr7	-	109106947	109107341	109107010	109107341	109085253	109085357
65	"ENSMUSG00000031362.18"	"Xlr4c"	chrX	-	72286183	72286266	72286219	72286266	72285673	72285788
66	"ENSMUSG00000031362.18"	"Xlr4c"	chrX	-	72286183	72286266	72286219	72286266	72285673	72285801
67	"ENSMUSG00000022436.17"	"Sh3bp1"	chr15	+	78794207	78794299	78794207	78794293	78796129	78796251
68	"ENSMUSG00000034101.15"	"Ctnnd1"	chr2	-	84480664	84481089	84480749	84481089	84452354	84452426
69	"ENSMUSG00000034101.15"	"Ctnnd1"	chr2	-	84480664	84481089	84480749	84481089	84456363	84456481
70	"ENSMUSG00000025354.6"	"Dnajc14"	chr10	+	128641544	128641595	128641544	128641583	128642036	128643489
71	"ENSMUSG00000041654.16"	"Slc39a11"	chr11	-	113354776	113354921	113354797	113354921	113196710	113196780
72	"ENSMUSG00000041654.16"	"Slc39a11"	chr11	-	113354776	113354921	113354797	113354921	113260553	113260724
73	"ENSMUSG00000007891.17"	"Ctsd"	chr7	-	141931069	141931192	141931087	141931192	141930762	141930907
74	"ENSMUSG00000028184.13"	"Adgrl2"	chr3	-	148528590	148528687	148528623	148528687	148522728	148523564
75	"ENSMUSG00000028184.13"	"Adgrl2"	chr3	-	148528590	148528687	148528623	148528687	148526915	148527044
76	"ENSMUSG00000037703.15"	"Lzts3"	chr2	-	130478862	130479339	130479204	130479339	130477692	130478547
77	"ENSMUSG00000070643.12"	"Sox13"	chr1	-	133312150	133312411	133312194	133312411	133310040	133311662
78	"ENSMUSG00000097451.12"	"Rian"	chr12	+	109572647	109572777	109572647	109572775	109583644	109583783
79	"ENSMUSG00000097451.12"	"Rian"	chr12	+	109593481	109593587	109593481	109593566	109601827	109601891
80	"ENSMUSG00000097451.12"	"Rian"	chr12	+	109593481	109593587	109593481	109593566	109604272	109604360
81	"ENSMUSG00000097451.12"	"Rian"	chr12	+	109623221	109623274	109623221	109623265	109624486	109624555
82	"ENSMUSG00000022639.16"	"Dubr"	chr16	-	50548254	50548572	50548415	50548572	50547803	50548019
83	"ENSMUSG00000112343.3"	"Sfta3-ps"	chr12	-	56550243	56550421	56550247	56550421	56539985	56540177
84	"ENSMUSG00000112343.3"	"Sfta3-ps"	chr12	-	56575587	56576214	56575592	56576214	56558333	56558468
85	"ENSMUSG00000063626.7"	"Unc5d"	chr8	-	29173130	29173280	29173190	29173280	29165302	29165467
86	"ENSMUSG00000063626.7"	"Unc5d"	chr8	-	29214248	29214434	29214287	29214434	29209644	29210022
87	"ENSMUSG00000040838.11"	"Gm11639"	chr11	+	104611093	104612377	104611093	104612221	104615296	104615434
88	"ENSMUSG00000067577.10"	"A430093F15Rik"	chr19	+	10759125	10760445	10759125	10759328	10762596	10762709
89	"ENSMUSG00000027797.16"	"Dclk1"	chr3	+	55385225	55385358	55385225	55385310	55387754	55387863
90	"ENSMUSG00000038094.16"	"Atp13a4"	chr16	-	29274184	29274342	29274241	29274342	29273509	29273698
91	"ENSMUSG00000034116.18"	"Vav1"	chr17	+	57586099	57586401	57586099	57586284	57602981	57603098
92	"ENSMUSG00000030733.11"	"Sh2b1"	chr7	-	126067591	126067813	126067644	126067813	126066170	126066945
93	"ENSMUSG00000030733.11"	"Sh2b1"	chr7	-	126067591	126067813	126067644	126067813	126067121	126067221
94	"ENSMUSG00000116718.3"	"Gm49668"	chr17	-	15643507	15644705	15644545	15644705	15642316	15642666
95	"ENSMUSG00000038754.6"	"Elovl3"	chr19	+	46120335	46120706	46120335	46120612	46121562	46121694
96	"ENSMUSG00000112110.3"	"Gm15608"	chr10	+	82028702	82028908	82028702	82028866	82030850	82030977
97	"ENSMUSG00000037716.16"	"Ccdc33"	chr9	-	57938338	57938545	57938443	57938545	57937616	57937703
98	"ENSMUSG00000004296.15"	"Il12b"	chr11	+	44290889	44291051	44290889	44290945	44294863	44294951
99	"ENSMUSG00000035172.16"	"Plekhh3"	chr11	-	101055876	101056013	101055885	101056013	101055484	101055617
100	"ENSMUSG00000100277.10"	"1810053B23Rik"	chr16	-	93143747	93144076	93144027	93144076	93141762	93141935
101	"ENSMUSG00000005625.16"	"Psmd4"	chr3	-	94941219	94941337	94941228	94941337	94940943	94941075
102	"ENSMUSG00000017550.15"	"Atad5"	chr11	+	80003574	80003663	80003574	80003654	80003900	80004040
103	"ENSMUSG00000025420.14"	"Katnal2"	chr18	-	77099679	77099800	77099685	77099800	77098642	77098741
104	"ENSMUSG00000040482.17"	"Dxo"	chr17	+	35055994	35056217	35055994	35056192	35056368	35056730
105	"ENSMUSG00000027425.19"	"Kat14"	chr2	+	144215110	144215775	144215110	144215289	144217764	144217883
106	"ENSMUSG00000073899.4"	"Olfr1532"	chr7	+	106507207	106507564	106507207	106507539	106513390	106515472
107	"ENSMUSG00000068663.15"	"Clec16a"	chr16	+	10413665	10413897	10413665	10413849	10428866	10428999
108	"ENSMUSG00000060424.16"	"Pantr1"	chr1	-	42732100	42733650	42733555	42733650	42706000	42706163
109	"ENSMUSG00000034275.20"	"Igsf9b"	chr9	+	27235472	27235596	27235472	27235584	27238141	27238317
110	"ENSMUSG00000030649.19"	"Anapc15"	chr7	+	101546939	101547024	101546939	101546994	101547148	101547278
111	"ENSMUSG00000026748.14"	"Plxdc2"	chr2	+	16708127	16708194	16708127	16708188	16716892	16717040
112	"ENSMUSG00000034427.18"	"Myo15b"	chr11	+	115778692	115778768	115778692	115778756	115778847	115778920
113	"ENSMUSG00000025451.16"	"Paip1"	chr13	+	119565668	119565948	119565668	119565696	119566695	119566865
114	"ENSMUSG00000096508.8"	"Gm7903"	chrX	+	134334908	134335035	134334908	134335027	134339279	134339579
115	"ENSMUSG00000048537.17"	"Phldb1"	chr9	-	44609015	44609139	44609048	44609139	44607333	44607480
116	"ENSMUSG00000012114.18"	"Med15"	chr16	-	17470568	17470671	17470572	17470671	17469084	17470127
117	"ENSMUSG00000056987.9"	"Garin2"	chr12	+	78745926	78745992	78745926	78745987	78757043	78757200
118	"ENSMUSG00000115424.3"	"D130079A08Rik"	chr14	-	104622526	104622741	104622601	104622741	104622040	104622152
119	"ENSMUSG00000030811.15"	"Fbxl19"	chr7	+	127350036	127350198	127350036	127350069	127351181	127351693
120	"ENSMUSG00000030811.15"	"Fbxl19"	chr7	+	127350036	127350200	127350036	127350069	127351181	127351693
121	"ENSMUSG00000030811.15"	"Fbxl19"	chr7	+	127350036	127350200	127350036	127350198	127351181	127351693
122	"ENSMUSG00000044308.18"	"Ubr3"	chr2	+	69821768	69821981	69821768	69821969	69824019	69824156
123	"ENSMUSG00000031154.16"	"Otud5"	chrX	+	7733905	7734077	7733905	7734062	7734161	7734310
124	"ENSMUSG00000031154.16"	"Otud5"	chrX	+	7738234	7738438	7738234	7738420	7739792	7739994
125	"ENSMUSG00000031161.16"	"Hdac6"	chrX	-	7813813	7814128	7813888	7814128	7813363	7813483
126	"ENSMUSG00000029601.14"	"Iqcd"	chr5	+	120740390	120740624	120740390	120740525	120743193	120743265
127	"ENSMUSG00000055491.15"	"Pprc1"	chr19	+	46050840	46050942	46050840	46050933	46051050	46053919
128	"ENSMUSG00000024943.10"	"Smc5"	chr19	-	23192005	23192104	23192008	23192104	23191429	23191534
129	"ENSMUSG00000091859.3"	"Vmn2r100"	chr17	+	19743646	19743862	19743646	19743673	19746177	19746301
130	"ENSMUSG00000057836.13"	"Xlr3a"	chrX	-	72138551	72138688	72138566	72138688	72137788	72137858
131	"ENSMUSG00000078812.11"	"Eif5a"	chr11	-	69811849	69811890	69811867	69811890	69809976	69810162
132	"ENSMUSG00000014529.10"	"Tmbim7"	chr5	+	3711758	3712033	3711758	3711841	3714256	3714335
133	"ENSMUSG00000060657.9"	"Marf1"	chr16	-	13969889	13970576	13970426	13970576	13969005	13969180
134	"ENSMUSG00000060988.13"	"Galnt13"	chr2	+	54963909	54964116	54963909	54964008	54988574	54988709
135	"ENSMUSG00000021933.12"	"Gucy1b2"	chr14	-	62656482	62656679	62656527	62656679	62654648	62654760
136	"ENSMUSG00000094921.3"	"Vmn2r112"	chr17	+	22824048	22824276	22824048	22824228	22833863	22833987
137	"ENSMUSG00000087380.9"	"2210408F21Rik"	chr6	+	31305223	31305324	31305223	31305295	31312925	31312997
138	"ENSMUSG00000087380.9"	"2210408F21Rik"	chr6	+	31308174	31308499	31308174	31308271	31312925	31312997
139	"ENSMUSG00000028644.18"	"Ermap"	chr4	-	119040502	119040535	119040506	119040535	119040039	119040072
140	"ENSMUSG00000060601.14"	"Nr1h2"	chr7	-	44203228	44203347	44203232	44203347	44203002	44203132
141	"ENSMUSG00000078956.5"	"Gm14221"	chr2	-	160461751	160461891	160461781	160461891	160447915	160449242
142	"ENSMUSG00000011751.17"	"Sptbn4"	chr7	-	27061820	27061893	27061823	27061893	27060991	27061284
143	"ENSMUSG00000000248.17"	"Clec2g"	chr6	+	128948122	128948269	128948122	128948157	128956358	128956441
144	"ENSMUSG00000048456.4"	"Olfr1448"	chr19	-	12901444	12901783	12901664	12901783	12898080	12898411
145	"ENSMUSG00000047126.18"	"Cltc"	chr11	-	86627884	86628104	86627896	86628104	86624401	86624670
146	"ENSMUSG00000107504.4"	"Gm35549"	chr9	-	122672759	122673100	122673033	122673100	122671780	122671871
147	"ENSMUSG00000107283.4"	"Mpv17"	chr5	-	31302583	31302622	31302589	31302622	31302043	31302096
148	"ENSMUSG00000019539.12"	"Rcn3"	chr7	-	44741519	44741645	44741528	44741645	44740864	44741112
149	"ENSMUSG00000037661.15"	"Gpr160"	chr3	+	30910098	30910403	30910098	30910206	30931383	30931710
150	"ENSMUSG00000037661.15"	"Gpr160"	chr3	+	30931383	30931710	30931383	30931481	30944090	30944190
151	"ENSMUSG00000058301.9"	"Upf1"	chr8	-	70792631	70792749	70792664	70792749	70792392	70792491
152	"ENSMUSG00000034032.16"	"Rpap1"	chr2	-	119617667	119617778	119617701	119617778	119614214	119614451
153	"ENSMUSG00000034761.16"	"Map4k5"	chr12	-	69888693	69888810	69888750	69888810	69884768	69884847
154	"ENSMUSG00000025212.18"	"Sfxn3"	chr19	+	45040534	45040662	45040534	45040622	45040849	45040899
155	"ENSMUSG00000008855.18"	"Hdac5"	chr11	-	102086773	102086943	102086777	102086943	102086576	102086694
156	"ENSMUSG00000069520.7"	"Tmem19"	chr10	-	115197713	115197864	115197811	115197864	115183550	115183688
157	"ENSMUSG00000069520.7"	"Tmem19"	chr10	-	115197713	115197864	115197811	115197864	115195558	115195672
158	"ENSMUSG00000029263.16"	"Pigg"	chr5	+	108479840	108480058	108479840	108480034	108480549	108480831
159	"ENSMUSG00000031323.9"	"Dmrtc1a"	chrX	-	101948660	101948727	101948666	101948727	101948355	101948485
160	"ENSMUSG00000033916.6"	"Chmp2a"	chr7	-	12766568	12766748	12766718	12766748	12766361	12766492
161	"ENSMUSG00000021027.18"	"Ralgapa1"	chr12	-	55768190	55769726	55769558	55769726	55766368	55766493
162	"ENSMUSG00000063827.3"	"Olfr1382"	chr11	+	49423226	49423407	49423226	49423349	49423529	49423618
163	"ENSMUSG00000063827.3"	"Olfr1382"	chr11	+	49423226	49423407	49423226	49423349	49423907	49424011
164	"ENSMUSG00000110234.3"	"Gm45799"	chr7	+	105290234	105290435	105290234	105290367	105304828	105304955
165	"ENSMUSG00000100410.3"	"2310020H05Rik"	chr13	-	99215216	99215546	99215417	99215546	99213033	99213308
166	"ENSMUSG00000040472.16"	"Rabggta"	chr14	-	55959300	55959633	55959509	55959633	55959051	55959162
167	"ENSMUSG00000030739.19"	"Myh14"	chr7	-	44307334	44307461	44307358	44307461	44305015	44305108
168	"ENSMUSG00000005899.15"	"Smpd4"	chr16	+	17457608	17457709	17457608	17457706	17457989	17458153
169	"ENSMUSG00000057054.12"	"Inca1"	chr11	-	70590745	70590981	70590774	70590981	70586689	70586774
170	"ENSMUSG00000057054.12"	"Inca1"	chr11	-	70590745	70590981	70590813	70590981	70586689	70586774
171	"ENSMUSG00000057054.12"	"Inca1"	chr11	-	70590745	70590981	70590883	70590981	70586689	70586774
172	"ENSMUSG00000057054.12"	"Inca1"	chr11	-	70590774	70590981	70590813	70590981	70586689	70586774
173	"ENSMUSG00000057054.12"	"Inca1"	chr11	-	70590774	70590981	70590883	70590981	70586689	70586774
174	"ENSMUSG00000057054.12"	"Inca1"	chr11	-	70590813	70590981	70590883	70590981	70586689	70586774
175	"ENSMUSG00000032641.19"	"Gpr19"	chr6	-	134873820	134874176	134874124	134874176	134864592	134864748
176	"ENSMUSG00000024958.14"	"Gpr137"	chr19	-	6917850	6918317	6918289	6918317	6917719	6917769
177	"ENSMUSG00000034021.16"	"Pds5b"	chr5	+	150720035	150720141	150720035	150720135	150724042	150724482
178	"ENSMUSG00000038876.13"	"Rnf146"	chr10	-	29237959	29238438	29237979	29238438	29237280	29237341
179	"ENSMUSG00000007880.17"	"Arid1a"	chr4	-	133413714	133413867	133413729	133413867	133413539	133413636
180	"ENSMUSG00000030577.15"	"Cd22"	chr7	-	30578601	30578765	30578619	30578765	30577474	30577532
181	"ENSMUSG00000061119.8"	"Prcp"	chr7	+	92566876	92567034	92566876	92566929	92568209	92568379
182	"ENSMUSG00000019978.17"	"Epb41l2"	chr10	+	25377721	25378285	25377721	25378036	25382072	25382171
183	"ENSMUSG00000034739.18"	"Mfrp"	chr9	+	44016448	44016597	44016448	44016579	44016701	44016812
184	"ENSMUSG00000049550.18"	"Clip1"	chr5	-	123768287	123769232	123768515	123769232	123761275	123761333
185	"ENSMUSG00000049550.18"	"Clip1"	chr5	-	123768287	123769232	123768515	123769232	123765356	123765473
186	"ENSMUSG00000121503.1"	"H2-K2"	chr17	-	34197096	34197497	34197227	34197497	34194714	34194989
187	"ENSMUSG00000121503.1"	"H2-K2"	chr17	-	34197096	34197497	34197227	34197497	34196844	34197020
188	"ENSMUSG00000116947.3"	"2410003I16Rik"	chr16	+	93812713	93813059	93812713	93813005	93814572	93815011
189	"ENSMUSG00000079478.10"	"Znrd2"	chr19	-	5781466	5781623	5781471	5781623	5781268	5781353
190	"ENSMUSG00000026110.16"	"Mgat4a"	chr1	-	37537653	37537821	37537680	37537821	37534953	37535094
191	"ENSMUSG00000028391.17"	"Wdr31"	chr4	-	62388948	62389124	62389055	62389124	62387073	62387170
192	"ENSMUSG00000074677.12"	"Sirpb1c"	chr3	-	15886293	15886626	15886311	15886626	15849308	15849514
193	"ENSMUSG00000074677.12"	"Sirpb1c"	chr3	-	15886293	15886626	15886311	15886626	15856652	15856767
194	"ENSMUSG00000008305.19"	"Tle1"	chr4	-	72087328	72087433	72087358	72087433	72076449	72076654
195	"ENSMUSG00000060523.6"	"Olfr726"	chr14	-	50327821	50328410	50328293	50328410	50321026	50322165
196	"ENSMUSG00000047728.14"	"Ly6g2"	chr15	+	75092469	75092689	75092469	75092639	75093486	75094510
197	"ENSMUSG00000033256.15"	"Shf"	chr2	-	122184509	122184678	122184511	122184678	122184245	122184365
198	"ENSMUSG00000040466.17"	"Blvrb"	chr7	+	27158680	27159058	27158680	27158845	27161991	27162120
199	"ENSMUSG00000059901.13"	"Adamts14"	chr10	-	61065425	61065582	61065434	61065582	61062885	61062991
200	"ENSMUSG00000021068.18"	"Nin"	chr12	-	70072153	70072255	70072180	70072255	70067607	70067805
201	"ENSMUSG00000021068.18"	"Nin"	chr12	-	70157845	70158256	70158209	70158256	70149424	70149628
202	"ENSMUSG00000110970.3"	"Olfr156"	chr4	-	43823323	43823866	43823433	43823866	43820131	43821438
203	"ENSMUSG00000042496.19"	"Prdm10"	chr9	+	31272116	31272257	31272116	31272218	31273626	31273795
204	"ENSMUSG00000025873.17"	"Faf2"	chr13	+	54789231	54789366	54789231	54789309	54793057	54793134
205	"ENSMUSG00000025873.17"	"Faf2"	chr13	+	54789231	54789366	54789231	54789309	54796104	54796243
206	"ENSMUSG00000025873.17"	"Faf2"	chr13	+	54789231	54789366	54789231	54789309	54797790	54797876
207	"ENSMUSG00000021143.11"	"Pacs2"	chr12	+	113024692	113024831	113024692	113024825	113025259	113025364
208	"ENSMUSG00000042790.17"	"Rnf214"	chr9	-	45811043	45811554	45811508	45811554	45809729	45809789
209	"ENSMUSG00000027469.17"	"Tpx2"	chr2	+	152696840	152696935	152696840	152696922	152709103	152709277
210	"ENSMUSG00000027469.17"	"Tpx2"	chr2	+	152696840	152696935	152696840	152696922	152709106	152709277
211	"ENSMUSG00000027469.17"	"Tpx2"	chr2	+	152696840	152696935	152696840	152696922	152722023	152722145
212	"ENSMUSG00000066154.12"	"Mup3"	chr4	-	62002753	62002830	62002784	62002830	62001712	62001964
213	"ENSMUSG00000021327.20"	"Zkscan3"	chr13	-	21580269	21580744	21580356	21580744	21578928	21579076
214	"ENSMUSG00000006386.16"	"Tek"	chr4	+	94739959	94740114	94739959	94740111	94741605	94741816
215	"ENSMUSG00000078926.9"	"Cdc20b"	chr13	+	113220463	113220581	113220463	113220569	113227568	113227729
216	"ENSMUSG00000031788.15"	"Kifc3"	chr8	-	95833090	95833272	95833120	95833272	95832347	95832452
217	"ENSMUSG00000036641.10"	"Ccdc148"	chr2	-	58907527	58907649	58907555	58907649	58899093	58899197
218	"ENSMUSG00000039021.16"	"Ttc16"	chr2	-	32664805	32665107	32665059	32665107	32664402	32664569
219	"ENSMUSG00000029797.14"	"Sspo"	chr6	+	48435903	48436100	48435903	48436094	48436236	48436364
220	"ENSMUSG00000029797.14"	"Sspo"	chr6	+	48441412	48441595	48441412	48441547	48441722	48441873
221	"ENSMUSG00000029797.14"	"Sspo"	chr6	+	48444531	48444697	48444531	48444682	48444770	48444924
222	"ENSMUSG00000029797.14"	"Sspo"	chr6	+	48475266	48475336	48475266	48475327	48475577	48475708
223	"ENSMUSG00000028849.18"	"Map7d1"	chr4	-	126133815	126133930	126133824	126133930	126130948	126131071
224	"ENSMUSG00000028849.18"	"Map7d1"	chr4	-	126133815	126133930	126133824	126133930	126132314	126132425
225	"ENSMUSG00000024357.11"	"Sil1"	chr18	-	35402091	35402256	35402142	35402256	35399448	35399962
226	"ENSMUSG00000066672.3"	"Olfr417"	chr1	+	174192687	174193199	174192687	174192781	174196470	174202038
227	"ENSMUSG00000030849.19"	"Fgfr2"	chr7	-	129797901	129798104	129797907	129798104	129786958	129787110
228	"ENSMUSG00000030980.18"	"Knop1"	chr7	-	118451625	118452563	118452111	118452563	118447671	118447797
229	"ENSMUSG00000030980.18"	"Knop1"	chr7	-	118451625	118452563	118452111	118452563	118449843	118449912
230	"ENSMUSG00000032712.17"	"Resf1"	chr6	+	149211819	149211875	149211819	149211857	149226229	149226298
231	"ENSMUSG00000032712.17"	"Resf1"	chr6	+	149211819	149211875	149211819	149211857	149226902	149231282
232	"ENSMUSG00000115681.3"	"Gm2682"	chr15	-	60037345	60037593	60037497	60037593	60016882	60017318
233	"ENSMUSG00000115681.3"	"Gm2682"	chr15	-	60037345	60037593	60037497	60037593	60036258	60036305
234	"ENSMUSG00000044702.14"	"Palb2"	chr7	-	121726271	121727666	121727360	121727666	121723479	121724150
235	"ENSMUSG00000029020.14"	"Mfn2"	chr4	-	147988906	147989155	147989114	147989155	147987811	147987954
236	"ENSMUSG00000062314.4"	"Olfr1505"	chr19	+	13893364	13893700	13893364	13893582	13896165	13899230
237	"ENSMUSG00000061829.5"	"Vmn1r214"	chr13	+	23214587	23214794	23214587	23214780	23218428	23222127
238	"ENSMUSG00000020827.19"	"Mink1"	chr11	+	70494593	70494769	70494593	70494760	70495009	70495079
239	"ENSMUSG00000034818.18"	"Celf5"	chr10	-	81307139	81307191	81307142	81307191	81306462	81306591
240	"ENSMUSG00000085084.9"	"4930570G19Rik"	chr3	-	156256628	156256874	156256671	156256874	156254895	156254945
241	"ENSMUSG00000085084.9"	"4930570G19Rik"	chr3	-	156256628	156256874	156256772	156256874	156254895	156254945
242	"ENSMUSG00000085084.9"	"4930570G19Rik"	chr3	-	156256671	156256874	156256772	156256874	156254895	156254945
243	"ENSMUSG00000000631.21"	"Myo18a"	chr11	+	77706681	77706825	77706681	77706717	77708444	77708532
244	"ENSMUSG00000035395.12"	"Dcaf8l"	chrX	-	88450373	88450514	88450374	88450514	88447453	88450287
245	"ENSMUSG00000062981.6"	"Mrpl42"	chr10	-	95337751	95337789	95337767	95337789	95336244	95336384
246	"ENSMUSG00000029761.17"	"Cald1"	chr6	+	34722553	34723574	34722553	34722950	34724826	34724904
