ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
518	"ENSMUSG00000025731.17"	"Mettl26"	chr17	+	26095634	26096143	26095634	26095713	26095923	26096143
519	"ENSMUSG00000056383.11"	"AI987944"	chr7	-	41022346	41024798	41022346	41023468	41024490	41024798
522	"ENSMUSG00000085054.3"	"Gm15834"	chr1	+	58549729	58551425	58549729	58549803	58551297	58551425
525	"ENSMUSG00000040270.17"	"Bach2"	chr4	+	32561777	32563367	32561777	32562794	32563163	32563367
533	"ENSMUSG00000017664.17"	"Slc35c2"	chr2	-	165125168	165125520	165125168	165125327	165125447	165125520
536	"ENSMUSG00000075704.18"	"Txnrd2"	chr16	+	18296400	18297820	18296400	18296607	18297607	18297820
538	"ENSMUSG00000113856.3"	"Gm10790"	chr13	+	42063550	42063728	42063550	42063580	42063656	42063728
539	"ENSMUSG00000031232.18"	"Magt1"	chrX	-	105011689	105015085	105011689	105014632	105015041	105015085
552	"ENSMUSG00000020484.20"	"Xbp1"	chr11	+	5474238	5474384	5474238	5474269	5474295	5474384
566	"ENSMUSG00000026565.19"	"Pou2f1"	chr1	-	165703025	165703617	165703025	165703085	165703471	165703617
571	"ENSMUSG00000028469.16"	"Npr2"	chr4	+	43650148	43650492	43650148	43650323	43650393	43650492
579	"ENSMUSG00000015950.14"	"Ncf1"	chr5	-	134249113	134251029	134249113	134250722	134250841	134251029
580	"ENSMUSG00000015950.14"	"Ncf1"	chr5	-	134249113	134251029	134249113	134250722	134250883	134251029
598	"ENSMUSG00000026721.17"	"Rabgap1l"	chr1	-	160568321	160568501	160568321	160568369	160568453	160568501
605	"ENSMUSG00000048856.10"	"Slc25a47"	chr12	+	108821219	108822741	108821219	108821544	108821864	108822741
607	"ENSMUSG00000034006.18"	"Slc66a2"	chr18	+	80299521	80300333	80299521	80299618	80299996	80300333
610	"ENSMUSG00000086363.9"	"A330102I10Rik"	chr13	+	29212404	29212787	29212404	29212452	29212563	29212787
615	"ENSMUSG00000032763.12"	"Ilvbl"	chr10	+	78419297	78420336	78419297	78419368	78419903	78420336
616	"ENSMUSG00000026107.12"	"Nabp1"	chr1	-	51516636	51517558	51516636	51516775	51516983	51517558
617	"ENSMUSG00000026107.12"	"Nabp1"	chr1	-	51516636	51517558	51516636	51516775	51517459	51517558
618	"ENSMUSG00000026107.12"	"Nabp1"	chr1	-	51516636	51517558	51516636	51516775	51517530	51517558
622	"ENSMUSG00000100658.3"	"F730311O21Rik"	chr1	+	132278111	132279099	132278111	132278597	132278705	132279099
628	"ENSMUSG00000022586.12"	"Ly6i"	chr15	-	74854838	74855279	74854838	74854921	74855179	74855279
635	"ENSMUSG00000067235.15"	"H2-Q10"	chr17	+	35784382	35785460	35784382	35784486	35785037	35785460
642	"ENSMUSG00000049643.16"	"2310022A10Rik"	chr7	+	27279761	27281524	27279761	27280116	27280775	27281524
656	"ENSMUSG00000038374.11"	"Rbm8a"	chr3	+	96538747	96541107	96538747	96538884	96539004	96541107
658	"ENSMUSG00000052926.17"	"Rnaseh2a"	chr8	-	85684295	85684718	85684295	85684482	85684594	85684718
659	"ENSMUSG00000052926.17"	"Rnaseh2a"	chr8	-	85684295	85684718	85684295	85684493	85684594	85684718
660	"ENSMUSG00000052926.17"	"Rnaseh2a"	chr8	-	85692488	85692916	85692488	85692622	85692714	85692916
666	"ENSMUSG00000015488.15"	"Cacfd1"	chr2	+	26908899	26911101	26908899	26908991	26910032	26911101
668	"ENSMUSG00000096768.9"	"Gm47283"	chrY	+	90827617	90827733	90827617	90827702	90827704	90827733
669	"ENSMUSG00000016833.15"	"Mrps18c"	chr5	+	100951835	100952337	100951835	100951895	100952197	100952337
672	"ENSMUSG00000064307.14"	"Lrrc51"	chr7	-	101562195	101562790	101562195	101562419	101562641	101562790
673	"ENSMUSG00000064307.14"	"Lrrc51"	chr7	-	101564768	101564974	101564768	101564837	101564936	101564974
