ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
19	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116566634	116566816	116566678	116566816	116566436	116566470
20	"ENSMUSG00000003873.12"	"Bax"	chr7	-	45111120	45111390	45111120	45111386	45112822	45112927
21	"ENSMUSG00000003873.12"	"Bax"	chr7	-	45111120	45111390	45111120	45111386	45114612	45114748
22	"ENSMUSG00000038831.17"	"Ralgps1"	chr2	-	33036581	33036665	33036581	33036662	33048921	33049048
23	"ENSMUSG00000029503.17"	"P2rx2"	chr5	-	110487677	110488163	110487677	110488100	110488370	110488448
24	"ENSMUSG00000024451.10"	"Arap3"	chr18	-	38129638	38130176	38129638	38130144	38131748	38131961
25	"ENSMUSG00000044676.11"	"Zfp612"	chr8	+	110810238	110810415	110810288	110810415	110809309	110809374
26	"ENSMUSG00000039697.17"	"Ncoa7"	chr10	-	30566752	30567783	30566752	30567750	30570064	30570249
27	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68922236	68922430	68922239	68922430	68921925	68922015
28	"ENSMUSG00000059475.14"	"Zfp426"	chr9	-	20389428	20389550	20389428	20389454	20397625	20397733
29	"ENSMUSG00000030589.16"	"Rasgrp4"	chr7	+	28839912	28840066	28839954	28840066	28839666	28839798
30	"ENSMUSG00000030589.16"	"Rasgrp4"	chr7	+	28842390	28842564	28842492	28842564	28839912	28840066
31	"ENSMUSG00000030589.16"	"Rasgrp4"	chr7	+	28845232	28845508	28845439	28845508	28844556	28844673
32	"ENSMUSG00000041488.17"	"Stx3"	chr19	-	11766920	11766995	11766920	11766949	11767411	11767457
33	"ENSMUSG00000026113.18"	"Inpp4a"	chr1	+	37413352	37413370	37413355	37413370	37411391	37411500
34	"ENSMUSG00000022185.20"	"Acin1"	chr14	-	54883907	54884060	54883907	54884024	54884159	54884290
35	"ENSMUSG00000022185.20"	"Acin1"	chr14	-	54884159	54884293	54884159	54884290	54885544	54885587
36	"ENSMUSG00000003051.14"	"Elf3"	chr1	-	135184742	135185024	135184742	135184964	135185352	135185520
37	"ENSMUSG00000037370.14"	"Enpp1"	chr10	-	24527142	24527297	24527142	24527294	24528732	24528784
38	"ENSMUSG00000057101.9"	"Zfp180"	chr7	+	23800872	23800993	23800877	23800993	23797245	23797320
39	"ENSMUSG00000026333.15"	"Gin1"	chr1	+	97710651	97710957	97710918	97710957	97705050	97705244
40	"ENSMUSG00000039599.17"	"Fam149b"	chr14	+	20431816	20431889	20431820	20431889	20428831	20428951
41	"ENSMUSG00000032850.17"	"Rnft2"	chr5	-	118375191	118375664	118375191	118375661	118380522	118380581
42	"ENSMUSG00000018752.20"	"Tnfsfm13"	chr11	-	69575043	69575162	69575043	69575159	69575310	69575358
43	"ENSMUSG00000003166.21"	"Dgcr2"	chr16	-	17676223	17676443	17676223	17676434	17677267	17677390
44	"ENSMUSG00000003166.21"	"Dgcr2"	chr16	-	17677267	17677390	17677267	17677387	17690426	17690549
45	"ENSMUSG00000037300.20"	"Ttc13"	chr8	-	125400186	125400474	125400186	125400266	125401100	125401180
46	"ENSMUSG00000037300.20"	"Ttc13"	chr8	-	125403079	125403189	125403079	125403186	125405740	125405825
47	"ENSMUSG00000029238.12"	"Clock"	chr5	-	76377204	76377410	76377204	76377407	76378011	76378206
48	"ENSMUSG00000031392.19"	"Irak1"	chrX	-	73060735	73061117	73060735	73061036	73061506	73061623
49	"ENSMUSG00000031392.19"	"Irak1"	chrX	-	73060735	73061117	73060735	73061036	73061735	73061972
50	"ENSMUSG00000031392.19"	"Irak1"	chrX	-	73066078	73066270	73066078	73066267	73066454	73066558
51	"ENSMUSG00000059995.13"	"Atxn7l3"	chr11	-	102184101	102184168	102184101	102184147	102184471	102184494
52	"ENSMUSG00000006392.17"	"Med8"	chr4	+	118268854	118268999	118268894	118268999	118266533	118266583
53	"ENSMUSG00000006392.17"	"Med8"	chr4	+	118268854	118268999	118268894	118268999	118268081	118268200
54	"ENSMUSG00000069565.13"	"Dazap1"	chr10	+	80113405	80113516	80113408	80113516	80110637	80110703
55	"ENSMUSG00000030134.12"	"Rasgef1a"	chr6	+	118062197	118062446	118062224	118062446	118061381	118061519
56	"ENSMUSG00000025586.18"	"Cpeb1"	chr7	-	81021759	81021951	81021759	81021948	81085950	81086125
57	"ENSMUSG00000060261.17"	"Gtf2i"	chr5	-	134272360	134272453	134272360	134272441	134272754	134272810
58	"ENSMUSG00000003808.19"	"Farsa"	chr8	+	85594378	85594547	85594381	85594547	85594177	85594277
59	"ENSMUSG00000035805.14"	"Mlc1"	chr15	-	88862001	88862218	88862001	88862200	88862718	88863210
60	"ENSMUSG00000029512.12"	"Ulk1"	chr5	-	110938715	110938820	110938715	110938802	110938917	110939063
61	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44139007	44139161	44139007	44139095	44140626	44140832
62	"ENSMUSG00000026049.12"	"Tex30"	chr1	-	44139007	44139161	44139007	44139081	44141059	44141522
63	"ENSMUSG00000038895.17"	"Zfp653"	chr9	-	21968796	21968998	21968796	21968974	21969099	21969711
64	"ENSMUSG00000040557.15"	"Mettl27"	chr5	+	134961475	134961701	134961574	134961701	134961226	134961264
65	"ENSMUSG00000040557.15"	"Mettl27"	chr5	+	134961475	134961701	134961574	134961701	134961245	134961302
66	"ENSMUSG00000000215.12"	"Ins2"	chr7	-	142232392	142232639	142232392	142232595	142233083	142233284
67	"ENSMUSG00000109058.4"	"Olfr705"	chr7	-	106471076	106473647	106471076	106473563	106475584	106476098
68	"ENSMUSG00000031842.16"	"Pde4c"	chr8	+	71201871	71202054	71201973	71202054	71201559	71201682
69	"ENSMUSG00000036916.14"	"Zfp280c"	chrX	-	47667256	47667433	47667256	47667406	47677579	47677626
70	"ENSMUSG00000040667.12"	"Nup88"	chr11	-	70835307	70835406	70835307	70835388	70835498	70835564
71	"ENSMUSG00000040667.12"	"Nup88"	chr11	-	70835670	70835811	70835670	70835796	70836028	70836187
72	"ENSMUSG00000035021.14"	"Baz1a"	chr12	-	54974348	54974498	54974348	54974495	54976311	54976450
73	"ENSMUSG00000009210.11"	"Prr29"	chr11	+	106265998	106266074	106266019	106266074	106265670	106265743
74	"ENSMUSG00000034533.11"	"Scn10a"	chr9	-	119462806	119462947	119462806	119462944	119464508	119464961
75	"ENSMUSG00000037601.12"	"Nme1"	chr11	-	93851493	93851661	93851493	93851606	93854052	93854154
76	"ENSMUSG00000027247.17"	"Arhgap1"	chr2	+	91484390	91484552	91484417	91484552	91482108	91482168
77	"ENSMUSG00000062818.8"	"Vmn1r51"	chr6	+	90101638	90101747	90101642	90101747	90099577	90099654
78	"ENSMUSG00000062818.8"	"Vmn1r51"	chr6	+	90101638	90101747	90101642	90101747	90099577	90099793
79	"ENSMUSG00000062818.8"	"Vmn1r51"	chr6	+	90105214	90109246	90105407	90109246	90101638	90101747
80	"ENSMUSG00000051747.16"	"Ttn"	chr2	-	76671877	76671970	76671877	76671949	76672111	76672180
81	"ENSMUSG00000051747.16"	"Ttn"	chr2	-	76679160	76679514	76679160	76679415	76679600	76679678
82	"ENSMUSG00000051747.16"	"Ttn"	chr2	-	76694615	76694669	76694615	76694660	76695566	76695641
83	"ENSMUSG00000038412.9"	"Higd1a"	chr9	-	121681556	121681675	121681556	121681671	121685503	121685651
84	"ENSMUSG00000038412.9"	"Higd1a"	chr9	-	121681556	121681675	121681556	121681671	121685515	121685651
85	"ENSMUSG00000038412.9"	"Higd1a"	chr9	-	121681556	121681675	121681556	121681671	121685786	121685938
86	"ENSMUSG00000038533.16"	"Cbfa2t2"	chr2	+	154373141	154373332	154373144	154373332	154370756	154370825
87	"ENSMUSG00000028514.16"	"Usp24"	chr4	+	106216209	106216371	106216212	106216371	106215596	106215671
88	"ENSMUSG00000020817.17"	"Rabep1"	chr11	+	70825946	70826008	70825952	70826008	70825230	70825420
89	"ENSMUSG00000045482.17"	"Trrap"	chr5	+	144728080	144728178	144728083	144728178	144727630	144727997
90	"ENSMUSG00000045482.17"	"Trrap"	chr5	+	144782224	144782424	144782278	144782424	144781008	144781099
91	"ENSMUSG00000039048.16"	"Foxred1"	chr9	-	35115503	35116437	35115503	35116419	35116600	35116705
92	"ENSMUSG00000025316.17"	"Banp"	chr8	+	122733829	122733901	122733838	122733901	122732290	122732421
93	"ENSMUSG00000031826.21"	"Usp10"	chr8	+	120667848	120668877	120667851	120668877	120658587	120658656
94	"ENSMUSG00000031826.21"	"Usp10"	chr8	+	120667848	120668877	120667851	120668877	120663269	120663327
95	"ENSMUSG00000034652.13"	"Cd300a"	chr11	+	114785483	114785604	114785495	114785604	114784063	114784420
96	"ENSMUSG00000000318.17"	"Clec10a"	chr11	+	70059408	70059522	70059411	70059522	70058642	70058830
97	"ENSMUSG00000036109.18"	"Mbnl3"	chrX	-	50217797	50217948	50217797	50217843	50218981	50219218
98	"ENSMUSG00000026219.15"	"Trip12"	chr1	-	84736694	84736848	84736694	84736767	84738483	84738640
99	"ENSMUSG00000026219.15"	"Trip12"	chr1	-	84755144	84755228	84755144	84755210	84760547	84760684
100	"ENSMUSG00000039976.5"	"Tbc1d16"	chr11	-	119047468	119047636	119047468	119047633	119048565	119048713
101	"ENSMUSG00000004071.14"	"Cdip1"	chr16	-	4586608	4586882	4586608	4586831	4587503	4587659
102	"ENSMUSG00000010435.8"	"Spaca7"	chr8	+	12639204	12639276	12639208	12639276	12636434	12636539
103	"ENSMUSG00000022150.17"	"Dab2"	chr15	+	6456811	6457246	6457001	6457246	6454115	6454178
104	"ENSMUSG00000040563.14"	"Plppr2"	chr9	+	21851980	21852169	21852055	21852169	21850594	21850674
105	"ENSMUSG00000061877.14"	"BC048679"	chr7	-	81144873	81145121	81144873	81145003	81145326	81145528
106	"ENSMUSG00000028049.16"	"Scamp3"	chr3	+	89086398	89086530	89086401	89086530	89085296	89085374
107	"ENSMUSG00000002058.14"	"Unc119"	chr11	+	78239290	78239990	78239356	78239990	78238912	78239085
108	"ENSMUSG00000032280.17"	"Tle3"	chr9	+	61309134	61309339	61309137	61309339	61301889	61301964
109	"ENSMUSG00000073424.10"	"Cyp4f15"	chr17	+	32920856	32921011	32920877	32921011	32919178	32919308
110	"ENSMUSG00000032547.13"	"Ryk"	chr9	+	102763192	102763327	102763201	102763327	102758852	102758953
111	"ENSMUSG00000040528.16"	"Milr1"	chr11	+	106652008	106652122	106652011	106652122	106645607	106645877
112	"ENSMUSG00000071073.6"	"Lrrc73"	chr17	+	46567573	46567796	46567607	46567796	46567108	46567209
113	"ENSMUSG00000021182.17"	"Ccdc88c"	chr12	-	100913358	100913517	100913358	100913496	100914705	100914890
114	"ENSMUSG00000023755.11"	"Rhebl1"	chr15	-	98776333	98776474	98776333	98776415	98776888	98776936
115	"ENSMUSG00000051735.8"	"Rinl"	chr7	+	28489714	28489836	28489750	28489836	28488393	28488430
116	"ENSMUSG00000032411.16"	"Tfdp2"	chr9	+	96155891	96155995	96155918	96155995	96105146	96105251
117	"ENSMUSG00000032411.16"	"Tfdp2"	chr9	+	96155891	96155995	96155918	96155995	96114734	96114801
118	"ENSMUSG00000032411.16"	"Tfdp2"	chr9	+	96155891	96155995	96155918	96155995	96129102	96129141
119	"ENSMUSG00000032411.16"	"Tfdp2"	chr9	+	96155891	96155995	96155918	96155995	96140794	96140857
120	"ENSMUSG00000032411.16"	"Tfdp2"	chr9	+	96155891	96155995	96155918	96155995	96141337	96141353
121	"ENSMUSG00000032411.16"	"Tfdp2"	chr9	+	96179676	96179823	96179679	96179823	96177017	96177180
122	"ENSMUSG00000021326.14"	"Trim27"	chr13	+	21374261	21374294	21374266	21374294	21374024	21374140
123	"ENSMUSG00000066803.3"	"Vmn1r84"	chr7	-	12099984	12100061	12099984	12100043	12100471	12100552
124	"ENSMUSG00000000530.17"	"Acvrl1"	chr15	+	101032487	101032624	101032525	101032624	101026807	101026944
125	"ENSMUSG00000057135.13"	"Scimp"	chr11	-	70688838	70688902	70688838	70688898	70691515	70691639
126	"ENSMUSG00000059134.3"	"Olfr814"	chr10	-	129712323	129712429	129712323	129712408	129715315	129715720
127	"ENSMUSG00000023019.13"	"Gpd1"	chr15	+	99617014	99617155	99617083	99617155	99616032	99616210
128	"ENSMUSG00000031065.15"	"Cdk16"	chrX	+	20560145	20560410	20560276	20560410	20559562	20559770
129	"ENSMUSG00000024349.11"	"Sting1"	chr18	-	35872092	35872273	35872092	35872150	35872403	35872630
130	"ENSMUSG00000059327.10"	"Eda"	chrX	+	99438624	99438749	99438633	99438749	99435938	99435990
131	"ENSMUSG00000042804.14"	"Gpr153"	chr4	+	152367314	152369794	152367383	152369794	152366827	152367012
132	"ENSMUSG00000025779.11"	"Ly96"	chr1	+	16771018	16771147	16771072	16771147	16761907	16761997
133	"ENSMUSG00000039252.12"	"Lgi2"	chr5	-	52703794	52704055	52703794	52703959	52711744	52711914
134	"ENSMUSG00000018740.15"	"Slc25a35"	chr11	+	68862009	68862162	68862021	68862162	68861549	68861615
135	"ENSMUSG00000024985.21"	"Tcf7l2"	chr19	+	55905770	55905911	55905785	55905911	55900990	55901077
136	"ENSMUSG00000024985.21"	"Tcf7l2"	chr19	+	55915113	55915188	55915115	55915188	55914408	55914481
137	"ENSMUSG00000022677.16"	"Cep20"	chr16	-	14122317	14122451	14122317	14122428	14128910	14128995
138	"ENSMUSG00000022677.16"	"Cep20"	chr16	-	14122317	14122451	14122317	14122428	14131679	14131877
139	"ENSMUSG00000038060.16"	"Dlec1"	chr9	+	118966271	118966451	118966274	118966451	118965708	118965833
140	"ENSMUSG00000032727.15"	"Mier3"	chr13	+	111848219	111848314	111848222	111848314	111846259	111846341
141	"ENSMUSG00000089984.8"	"Fbxo24"	chr5	-	137616981	137617169	137616981	137617103	137617846	137618005
142	"ENSMUSG00000021541.15"	"Trpc7"	chr13	-	56930323	56930404	56930323	56930401	56931435	56931657
143	"ENSMUSG00000075078.6"	"Olfr1250"	chr2	-	89484116	89487980	89484116	89487975	89489663	89489834
144	"ENSMUSG00000036561.10"	"Ppp6r2"	chr15	+	89140865	89141052	89140911	89141052	89137221	89137453
145	"ENSMUSG00000036561.10"	"Ppp6r2"	chr15	+	89140865	89141052	89140911	89141052	89137237	89137464
146	"ENSMUSG00000001786.15"	"Fbxo7"	chr10	+	85860279	85860574	85860431	85860574	85857835	85858008
147	"ENSMUSG00000031879.15"	"Ciao2b"	chr8	-	105367599	105367725	105367599	105367720	105367942	105368022
148	"ENSMUSG00000050808.14"	"Muc15"	chr2	+	110567691	110569872	110567746	110569872	110564150	110564300
149	"ENSMUSG00000020886.18"	"Dlg4"	chr11	+	69921420	69921480	69921429	69921480	69921224	69921278
150	"ENSMUSG00000029456.13"	"Acad10"	chr5	-	121794076	121794317	121794076	121794276	121798355	121798577
151	"ENSMUSG00000029178.15"	"Klf3"	chr5	+	64974077	64974173	64974078	64974173	64969681	64969846
152	"ENSMUSG00000115020.2"	"Vmn1r218"	chr13	+	23320060	23330282	23320866	23330282	23317324	23317466
153	"ENSMUSG00000115020.2"	"Vmn1r218"	chr13	+	23320060	23330282	23320866	23330282	23317324	23317532
154	"ENSMUSG00000040856.18"	"Dlk1"	chr12	+	109425971	109429262	109426043	109429262	109425532	109425818
155	"ENSMUSG00000002297.17"	"Dbf4"	chr5	-	8454870	8454916	8454870	8454913	8455801	8455838
156	"ENSMUSG00000031362.18"	"Xlr4c"	chrX	-	72285673	72285801	72285673	72285788	72286183	72286266
157	"ENSMUSG00000031362.18"	"Xlr4c"	chrX	-	72285673	72285801	72285673	72285788	72286219	72286266
158	"ENSMUSG00000116993.3"	"Gm32461"	chr16	-	86595895	86596022	86595895	86596019	86598139	86598325
159	"ENSMUSG00000027482.13"	"Bpifa3"	chr2	+	153980054	153980276	153980059	153980276	153979497	153979561
160	"ENSMUSG00000014599.11"	"Csf1"	chr3	-	107655469	107656485	107655469	107655600	107657626	107657774
161	"ENSMUSG00000115021.2"	"Vmn1r173"	chr7	+	23401277	23410434	23401460	23410434	23400127	23400386
162	"ENSMUSG00000003527.10"	"Ess2"	chr16	-	17725613	17725786	17725613	17725783	17727768	17727864
163	"ENSMUSG00000075470.3"	"Alg10b"	chr15	+	90111526	90117674	90111675	90117674	90109859	90110057
164	"ENSMUSG00000034101.15"	"Ctnnd1"	chr2	-	84431124	84433247	84431124	84433244	84433992	84434096
165	"ENSMUSG00000034101.15"	"Ctnnd1"	chr2	-	84454613	84454902	84454613	84454793	84456363	84456481
166	"ENSMUSG00000024181.10"	"Mrpl28"	chr17	+	26344451	26344538	26344473	26344538	26344230	26344365
167	"ENSMUSG00000024181.10"	"Mrpl28"	chr17	+	26345244	26345587	26345265	26345587	26344451	26344538
168	"ENSMUSG00000074165.11"	"Zfp788"	chr7	+	41296906	41297041	41296914	41297041	41284103	41284134
169	"ENSMUSG00000074165.11"	"Zfp788"	chr7	+	41296906	41297041	41296914	41297041	41292756	41292856
170	"ENSMUSG00000057246.17"	"BC051142"	chr17	+	34636215	34636507	34636436	34636507	34635440	34635578
171	"ENSMUSG00000078427.4"	"Sarnp"	chr10	+	128674312	128674359	128674315	128674359	128669180	128669280
172	"ENSMUSG00000019893.14"	"Ros1"	chr10	-	52030877	52031374	52030877	52031311	52037904	52038002
173	"ENSMUSG00000016257.16"	"Prelid3b"	chr2	-	174310090	174310192	174310090	174310180	174311129	174311298
174	"ENSMUSG00000039342.6"	"Ankar"	chr1	-	72718667	72718706	72718667	72718703	72719139	72719359
175	"ENSMUSG00000031389.18"	"Arhgap4"	chrX	-	72941574	72941652	72941574	72941619	72941737	72941798
176	"ENSMUSG00000031389.18"	"Arhgap4"	chrX	-	72949256	72949499	72949256	72949469	72949762	72949825
177	"ENSMUSG00000028184.13"	"Adgrl2"	chr3	-	148558202	148558496	148558202	148558298	148564368	148565169
178	"ENSMUSG00000030963.7"	"Umod"	chr7	-	119077421	119077597	119077421	119077541	119078374	119078478
179	"ENSMUSG00000059552.14"	"Trp53"	chr11	+	69482079	69482698	69482175	69482698	69481481	69481588
180	"ENSMUSG00000021081.13"	"Serpina1f"	chr12	-	103658001	103658275	103658001	103658110	103659652	103660281
181	"ENSMUSG00000036270.17"	"Edc4"	chr8	+	106616256	106616361	106616304	106616361	106615735	106616172
182	"ENSMUSG00000070643.12"	"Sox13"	chr1	-	133316186	133316301	133316186	133316298	133316666	133316735
183	"ENSMUSG00000097451.12"	"Rian"	chr12	+	109600627	109600788	109600692	109600788	109593481	109593587
184	"ENSMUSG00000097451.12"	"Rian"	chr12	+	109620719	109620866	109620735	109620866	109619134	109619149
185	"ENSMUSG00000055531.13"	"Cpsf6"	chr10	-	117191839	117192032	117191839	117192029	117194897	117195051
186	"ENSMUSG00000112343.3"	"Sfta3-ps"	chr12	-	56539985	56540177	56539985	56540115	56550247	56550421
187	"ENSMUSG00000112343.3"	"Sfta3-ps"	chr12	-	56552904	56553196	56552904	56553190	56558333	56558450
188	"ENSMUSG00000112343.3"	"Sfta3-ps"	chr12	-	56558333	56558468	56558333	56558455	56575592	56576207
189	"ENSMUSG00000041740.17"	"Rnf10"	chr5	-	115379828	115380120	115379828	115380117	115380451	115380610
190	"ENSMUSG00000041740.17"	"Rnf10"	chr5	-	115386973	115387232	115386973	115387229	115387455	115387581
191	"ENSMUSG00000041740.17"	"Rnf10"	chr5	-	115386973	115387232	115386973	115387229	115388028	115388189
192	"ENSMUSG00000029622.17"	"Arpc1b"	chr5	+	145062688	145062776	145062700	145062776	145062387	145062594
193	"ENSMUSG00000071858.5"	"Gm94"	chr18	-	43914273	43914332	43914273	43914329	43917639	43917793
194	"ENSMUSG00000021282.18"	"Eif5"	chr12	+	111505841	111506121	111505980	111506121	111504788	111504982
195	"ENSMUSG00000024914.17"	"Drap1"	chr19	-	5473587	5473702	5473587	5473681	5473799	5473919
196	"ENSMUSG00000027797.16"	"Dclk1"	chr3	+	55387754	55387863	55387757	55387863	55385225	55385310
197	"ENSMUSG00000027797.16"	"Dclk1"	chr3	+	55410229	55410326	55410232	55410326	55409793	55409871
198	"ENSMUSG00000022838.15"	"Eaf2"	chr16	-	36620948	36621206	36620948	36621064	36628376	36628522
199	"ENSMUSG00000049624.15"	"Slc17a5"	chr9	-	78484311	78484545	78484311	78484467	78485792	78485989
200	"ENSMUSG00000026972.16"	"Arrdc1"	chr2	-	24816283	24816460	24816283	24816457	24816556	24816739
201	"ENSMUSG00000056851.15"	"Pcbp2"	chr15	+	102392588	102392675	102392600	102392675	102391594	102391723
202	"ENSMUSG00000056851.15"	"Pcbp2"	chr15	+	102398186	102398242	102398189	102398242	102396639	102396712
203	"ENSMUSG00000056851.15"	"Pcbp2"	chr15	+	102398186	102398242	102398189	102398242	102397210	102397249
204	"ENSMUSG00000021922.18"	"Itih4"	chr14	+	30619479	30619530	30619482	30619530	30618514	30618727
205	"ENSMUSG00000029288.12"	"Ambn"	chr5	+	88611085	88611325	88611130	88611325	88609491	88609602
206	"ENSMUSG00000112110.3"	"Gm15608"	chr10	+	82034971	82035070	82034975	82035070	82031171	82031232
207	"ENSMUSG00000037716.16"	"Ccdc33"	chr9	-	57940502	57940594	57940502	57940591	57940838	57940998
208	"ENSMUSG00000031512.16"	"Tex29"	chr8	+	11894026	11894262	11894151	11894262	11890881	11890976
209	"ENSMUSG00000027282.18"	"Mtch2"	chr2	+	90683367	90683457	90683394	90683457	90683183	90683210
210	"ENSMUSG00000042210.18"	"Abhd14a"	chr9	-	106317819	106318109	106317819	106318055	106321025	106321141
211	"ENSMUSG00000042210.18"	"Abhd14a"	chr9	-	106322724	106322855	106322724	106322850	106322969	106323028
212	"ENSMUSG00000097290.10"	"1300002E11Rik"	chr16	+	21619464	21619586	21619524	21619586	21614599	21614725
213	"ENSMUSG00000027284.17"	"Cdan1"	chr2	-	120551362	120551491	120551362	120551470	120553090	120553239
214	"ENSMUSG00000073926.5"	"Olfr653"	chr7	+	104228580	104228730	104228601	104228730	104226752	104226805
215	"ENSMUSG00000026816.15"	"Gtf3c5"	chr2	-	28457619	28457814	28457619	28457796	28458496	28458639
216	"ENSMUSG00000041351.17"	"Rap1gap"	chr4	+	137454987	137455090	137455040	137455090	137454262	137454386
217	"ENSMUSG00000070315.14"	"4930581F22Rik"	chr9	+	35028842	35029152	35028860	35029152	35028664	35028728
218	"ENSMUSG00000070315.14"	"4930581F22Rik"	chr9	+	35037507	35038193	35037511	35038193	35034896	35034990
219	"ENSMUSG00000038780.15"	"Smurf1"	chr5	-	144817434	144817519	144817434	144817510	144818427	144818629
220	"ENSMUSG00000035152.15"	"Ap2b1"	chr11	+	83215336	83215582	83215450	83215582	83212764	83212900
221	"ENSMUSG00000004565.16"	"Pnpla6"	chr8	+	3573998	3574166	3574010	3574166	3573757	3573867
222	"ENSMUSG00000024044.20"	"Epb41l3"	chr17	+	69569120	69569341	69569174	69569341	69566007	69566183
223	"ENSMUSG00000074947.4"	"Olfr1312"	chr2	-	111878209	111878381	111878209	111878353	111879702	111879762
224	"ENSMUSG00000027544.17"	"Nfatc2"	chr2	-	168412517	168413553	168412517	168413033	168431981	168432285
225	"ENSMUSG00000026135.18"	"Zfp142"	chr1	-	74618483	74619086	74618483	74618777	74624542	74624856
226	"ENSMUSG00000029778.13"	"Adcyap1r1"	chr6	+	55468211	55468295	55468214	55468295	55461926	55462018
227	"ENSMUSG00000024043.14"	"Arhgap28"	chr17	-	68171457	68171620	68171457	68171617	68175945	68176023
228	"ENSMUSG00000073422.12"	"H2-Ke6"	chr17	-	34245006	34245444	34245006	34245199	34245636	34245679
229	"ENSMUSG00000073422.12"	"H2-Ke6"	chr17	-	34245006	34245444	34245006	34245199	34245824	34245909
230	"ENSMUSG00000024393.15"	"Prrc2a"	chr17	-	35369792	35369881	35369792	35369878	35371593	35371761
231	"ENSMUSG00000048810.3"	"Olfr202"	chr16	-	59103878	59104864	59103878	59104860	59105929	59106133
232	"ENSMUSG00000024771.8"	"Lipk"	chr19	+	33997607	33997740	33997622	33997740	33996078	33996191
233	"ENSMUSG00000056629.17"	"Fkbp2"	chr19	-	6956340	6956545	6956340	6956509	6956681	6957618
234	"ENSMUSG00000026743.17"	"Mllt10"	chr2	+	18167127	18167697	18167418	18167697	18164266	18164522
235	"ENSMUSG00000101750.4"	"Olfr1392"	chr11	+	49183719	49186718	49184127	49186718	49183167	49183322
236	"ENSMUSG00000022791.20"	"Tnk2"	chr16	+	32499717	32499813	32499723	32499813	32498276	32499625
237	"ENSMUSG00000021414.9"	"Fam217a"	chr13	-	35097411	35097482	35097411	35097479	35097592	35097667
238	"ENSMUSG00000115467.2"	"Vmn1r37"	chr6	+	66708323	66710023	66708476	66710023	66706365	66706435
239	"ENSMUSG00000115467.2"	"Vmn1r37"	chr6	+	66708323	66710023	66708788	66710023	66706365	66706435
240	"ENSMUSG00000115467.2"	"Vmn1r37"	chr6	+	66708476	66710023	66708788	66710023	66706365	66706435
241	"ENSMUSG00000115467.2"	"Vmn1r37"	chr6	+	66708323	66710023	66708788	66710023	66706722	66706795
242	"ENSMUSG00000037426.19"	"Depdc5"	chr5	+	33094864	33095048	33094891	33095048	33091293	33091359
243	"ENSMUSG00000022340.16"	"Sybu"	chr15	-	44609641	44609858	44609641	44609855	44611704	44611794
244	"ENSMUSG00000043924.17"	"Ncmap"	chr4	-	135104301	135104387	135104301	135104384	135107962	135108149
245	"ENSMUSG00000021661.17"	"Ankra2"	chr13	+	98409885	98410426	98410314	98410426	98409279	98409360
