ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
91	"ENSMUSG00000024160.17"	"Spsb3"	chr17	+	25109806	25110110	25109806	25109909	25109984	25110110
92	"ENSMUSG00000000605.10"	"Clcn4"	chr7	-	7294409	7294955	7294409	7294725	7294818	7294955
93	"ENSMUSG00000060523.6"	"Olfr726"	chr14	-	50327821	50328388	50327821	50328006	50328293	50328388
94	"ENSMUSG00000060523.6"	"Olfr726"	chr14	-	50327821	50328410	50327821	50327882	50328293	50328410
95	"ENSMUSG00000119955.1"	"ENSMUSG00000119955"	chr3	+	95892802	95893392	95892802	95892900	95893315	95893392
96	"ENSMUSG00000047394.10"	"Odf3b"	chr15	-	89261651	89262075	89261651	89261792	89261934	89262075
97	"ENSMUSG00000020536.13"	"Llgl1"	chr11	+	60603746	60605012	60603746	60603867	60603954	60605012
98	"ENSMUSG00000029260.16"	"Ugt2b34"	chr5	-	87037625	87040821	87037625	87039340	87040601	87040821
99	"ENSMUSG00000054435.17"	"Gimap4"	chr6	+	48667304	48667882	48667304	48667391	48667775	48667882
100	"ENSMUSG00000054435.17"	"Gimap4"	chr6	+	48667304	48668994	48667304	48667391	48668299	48668994
101	"ENSMUSG00000054435.17"	"Gimap4"	chr6	+	48667304	48668994	48667304	48667882	48668331	48668994
102	"ENSMUSG00000062712.4"	"Olfr531"	chr7	-	139978957	139982831	139978957	139981011	139982565	139982831
103	"ENSMUSG00000062712.4"	"Olfr531"	chr7	-	139978957	139982831	139978957	139981021	139982565	139982831
104	"ENSMUSG00000050134.8"	"Olfr430"	chr1	+	173895988	173899839	173895988	173896079	173896859	173899839
105	"ENSMUSG00000098754.8"	"Prn"	chr2	+	131794928	131798050	131794928	131795502	131796740	131798050
106	"ENSMUSG00000056014.16"	"A430033K04Rik"	chr5	+	138621120	138621250	138621120	138621195	138621196	138621250
107	"ENSMUSG00000004630.19"	"Pcp2"	chr8	-	3673376	3674632	3673376	3673558	3674507	3674632
108	"ENSMUSG00000097277.9"	"2900076A07Rik"	chr7	+	81178534	81179275	81178534	81178688	81178904	81179275
109	"ENSMUSG00000097277.9"	"2900076A07Rik"	chr7	+	81178534	81179275	81178534	81178688	81179094	81179275
110	"ENSMUSG00000097277.9"	"2900076A07Rik"	chr7	+	81178904	81179275	81178904	81179006	81179094	81179275
111	"ENSMUSG00000028849.18"	"Map7d1"	chr4	-	126130688	126131071	126130688	126130852	126130948	126131071
112	"ENSMUSG00000036647.6"	"Olfr6"	chr7	-	106552457	106558821	106552457	106556343	106558720	106558821
113	"ENSMUSG00000033762.9"	"Recql4"	chr15	-	76589390	76590056	76589390	76589643	76589793	76590056
114	"ENSMUSG00000033762.9"	"Recql4"	chr15	-	76593967	76594398	76593967	76594108	76594300	76594398
115	"ENSMUSG00000038344.15"	"Txlng"	chrX	-	161594287	161594591	161594287	161594384	161594531	161594591
116	"ENSMUSG00000060024.3"	"Vmn1r213"	chr13	+	23192886	23198652	23192886	23193058	23195666	23198652
117	"ENSMUSG00000060024.3"	"Vmn1r213"	chr13	+	23192886	23198652	23192886	23193206	23195666	23198652
118	"ENSMUSG00000032125.22"	"Robo4"	chr9	+	37316868	37317379	37316868	37317037	37317193	37317379
119	"ENSMUSG00000099338.3"	"2810030D12Rik"	chr8	+	13250729	13251293	13250729	13250824	13251100	13251293
120	"ENSMUSG00000096834.8"	"Gm15127"	chrX	+	147468313	147469272	147468313	147468992	147469040	147469272
121	"ENSMUSG00000036570.15"	"Fxyd1"	chr7	-	30751102	30751412	30751102	30751240	30751357	30751412
122	"ENSMUSG00000029381.17"	"Shroom3"	chr5	+	93087835	93090998	93087835	93089968	93090361	93090998
123	"ENSMUSG00000084762.3"	"Platr3"	chr2	+	135493417	135493987	135493417	135493441	135493766	135493987
124	"ENSMUSG00000030409.17"	"Dmpk"	chr7	+	18821925	18822189	18821925	18822034	18822112	18822189
125	"ENSMUSG00000066456.15"	"Hmgn3"	chr9	-	82992000	82993159	82992000	82992482	82993045	82993159
126	"ENSMUSG00000066456.15"	"Hmgn3"	chr9	-	82992000	82993159	82992000	82992482	82993086	82993159
127	"ENSMUSG00000031342.18"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168477	165169947	165171984
128	"ENSMUSG00000032842.14"	"Abcc10"	chr17	-	46615082	46615401	46615082	46615180	46615255	46615401
129	"ENSMUSG00000005506.17"	"Celf1"	chr2	+	90843582	90849842	90843582	90843747	90843835	90849842
130	"ENSMUSG00000005506.17"	"Celf1"	chr2	+	90843582	90849842	90843582	90843747	90846910	90849842
131	"ENSMUSG00000074966.6"	"Olfr1275"	chr2	-	111060704	111062794	111060704	111062165	111062671	111062794
132	"ENSMUSG00000045648.16"	"Vwc2l"	chr1	+	70767857	70768327	70767857	70768037	70768178	70768327
133	"ENSMUSG00000098234.9"	"Snhg6"	chr1	-	10012547	10012942	10012547	10012609	10012834	10012942
134	"ENSMUSG00000098234.9"	"Snhg6"	chr1	-	10012547	10012942	10012547	10012616	10012834	10012942
135	"ENSMUSG00000039205.17"	"Ciz1"	chr2	+	32260875	32261420	32260875	32261113	32261260	32261420
136	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158199117	158200458	158199117	158199183	158200124	158200458
137	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158199117	158200458	158199117	158199183	158200153	158200458
138	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158199117	158200458	158199117	158199183	158200219	158200458
139	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158199117	158200458	158199117	158199183	158200348	158200458
140	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158200124	158200458	158200124	158200260	158200348	158200458
141	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158199117	158201352	158199117	158199183	158201101	158201352
142	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158200124	158201352	158200124	158200260	158201101	158201352
143	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158200124	158201352	158200124	158200458	158201101	158201352
144	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158202862	158203116	158202862	158202990	158203080	158203116
145	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158202862	158203442	158202862	158203116	158203324	158203442
146	"ENSMUSG00000019738.16"	"Polr2i"	chr7	+	29931756	29931961	29931756	29931829	29931906	29931961
147	"ENSMUSG00000075410.14"	"Prcd"	chr11	+	116550558	116550653	116550558	116550608	116550610	116550653
148	"ENSMUSG00000032878.17"	"Ccdc85a"	chr11	-	28526390	28527345	28526390	28526989	28527073	28527345
149	"ENSMUSG00000068299.12"	"Nat8f4"	chr6	-	85876032	85878595	85876032	85876252	85878173	85878595
150	"ENSMUSG00000026288.15"	"Inpp5d"	chr1	+	87642759	87643035	87642759	87642815	87642998	87643035
151	"ENSMUSG00000099722.4"	"Gm29154"	chr9	-	103796591	103797075	103796591	103796830	103796917	103797075
152	"ENSMUSG00000096385.8"	"Gm11168"	chr9	+	3005069	3005194	3005069	3005072	3005074	3005194
153	"ENSMUSG00000026883.18"	"Dab2ip"	chr2	+	35618069	35621004	35618069	35618140	35620435	35621004
154	"ENSMUSG00000034024.9"	"Cct2"	chr10	-	116897202	116897486	116897202	116897315	116897409	116897486
155	"ENSMUSG00000025144.18"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120602669	120602721
156	"ENSMUSG00000061393.15"	"Acvr2b"	chr9	+	119257266	119257634	119257266	119257418	119257490	119257634
157	"ENSMUSG00000024565.11"	"Sall3"	chr18	-	81014395	81017844	81014395	81014736	81014952	81017844
158	"ENSMUSG00000032480.18"	"Dhx30"	chr9	-	109944103	109944650	109944103	109944229	109944558	109944650
159	"ENSMUSG00000079110.13"	"Capn3"	chr2	+	120332867	120333074	120332867	120332925	120333009	120333074
160	"ENSMUSG00000040327.17"	"Cul9"	chr17	-	46811530	46811856	46811530	46811801	46811831	46811856
161	"ENSMUSG00000029811.15"	"Aoc1"	chr6	+	48881919	48883710	48881919	48882024	48882121	48883710
162	"ENSMUSG00000029442.19"	"Wdr66"	chr5	+	123427944	123428129	123427944	123428052	123428054	123428129
163	"ENSMUSG00000095241.3"	"Gm5478"	chr15	-	101553017	101553720	101553017	101553143	101553555	101553720
164	"ENSMUSG00000097431.4"	"Gm26782"	chr14	+	51117493	51122266	51117493	51118195	51120787	51122266
165	"ENSMUSG00000062598.4"	"Vmn1r178"	chr7	+	23592801	23595047	23592801	23592934	23593170	23595047
166	"ENSMUSG00000028738.15"	"Tas1r2"	chr4	+	139387034	139387811	139387034	139387178	139387265	139387811
167	"ENSMUSG00000014932.16"	"Yes1"	chr5	+	32841894	32844401	32841894	32842150	32843864	32844401
168	"ENSMUSG00000112117.4"	"Rmst"	chr10	-	91917607	91918837	91917607	91918344	91918618	91918837
169	"ENSMUSG00000112117.4"	"Rmst"	chr10	-	91969084	91970178	91969084	91969210	91970103	91970178
170	"ENSMUSG00000112117.4"	"Rmst"	chr10	-	91969084	91970178	91969084	91969257	91970103	91970178
171	"ENSMUSG00000112117.4"	"Rmst"	chr10	-	91969084	91970178	91969084	91969349	91970103	91970178
172	"ENSMUSG00000002109.15"	"Ddb2"	chr2	-	91064452	91065296	91064452	91064644	91065159	91065296
173	"ENSMUSG00000063659.12"	"Zbtb18"	chr1	+	177274654	177278330	177274654	177275342	177275454	177278330
174	"ENSMUSG00000029859.7"	"Epha1"	chr6	-	42341470	42342054	42341470	42341598	42341709	42342054
175	"ENSMUSG00000034211.15"	"Mrps17"	chr5	+	129792747	129793930	129792747	129792827	129793790	129793930
176	"ENSMUSG00000034211.15"	"Mrps17"	chr5	+	129792747	129793930	129792747	129792922	129793790	129793930
177	"ENSMUSG00000034211.15"	"Mrps17"	chr5	+	129792747	129793930	129792747	129792974	129793790	129793930
178	"ENSMUSG00000034211.15"	"Mrps17"	chr5	+	129792747	129793930	129792747	129793005	129793790	129793930
179	"ENSMUSG00000051811.15"	"Cox6b2"	chr7	-	4755722	4756022	4755722	4755848	4755951	4756022
180	"ENSMUSG00000086290.11"	"Snhg12"	chr4	+	132037461	132037815	132037461	132037526	132037761	132037815
181	"ENSMUSG00000046519.16"	"Golph3l"	chr3	+	95524354	95526558	95524354	95524553	95525173	95526558
182	"ENSMUSG00000097248.11"	"Gm2694"	chr8	+	88250923	88252180	88250923	88251055	88252042	88252180
183	"ENSMUSG00000040907.16"	"Atp1a3"	chr7	-	24677591	24678430	24677591	24678001	24678338	24678430
184	"ENSMUSG00000107266.3"	"Gm43698"	chr5	+	67522818	67523946	67522818	67523077	67523617	67523946
185	"ENSMUSG00000005514.15"	"Por"	chr5	+	135763236	135763560	135763236	135763382	135763474	135763560
186	"ENSMUSG00000059208.16"	"Hnrnpm"	chr17	-	33885467	33885659	33885467	33885503	33885620	33885659
187	"ENSMUSG00000087470.4"	"A630031M04Rik"	chr4	+	127424256	127425444	127424256	127424482	127425230	127425444
188	"ENSMUSG00000087470.4"	"A630031M04Rik"	chr4	+	127424256	127425444	127424256	127424516	127425236	127425444
189	"ENSMUSG00000006705.14"	"Pknox1"	chr17	+	31823726	31824108	31823726	31823952	31824037	31824108
190	"ENSMUSG00000061296.3"	"Vmn1r210"	chr13	-	23010044	23013377	23010044	23012526	23012910	23013377
191	"ENSMUSG00000069255.14"	"Dusp22"	chr13	+	30892659	30895214	30892659	30892732	30894688	30895214
192	"ENSMUSG00000021488.9"	"Nsd1"	chr13	+	55361016	55361963	55361016	55361130	55361873	55361963
193	"ENSMUSG00000121500.1"	"ENSMUSG00000121500"	chr11	+	3078928	3079520	3078928	3079118	3079381	3079520
194	"ENSMUSG00000045575.3"	"Vmn1r233"	chr17	-	21211908	21216726	21211908	21215834	21216555	21216726
195	"ENSMUSG00000113204.3"	"Gm46430"	chr13	-	74753063	74755854	74753063	74754136	74755804	74755854
196	"ENSMUSG00000033961.17"	"Zfp446"	chr7	+	12715772	12717323	12715772	12715854	12716045	12717323
197	"ENSMUSG00000027316.16"	"Gfra4"	chr2	-	130883151	130883678	130883151	130883261	130883314	130883678
198	"ENSMUSG00000120369.1"	"ENSMUSG00000120369"	chr2	-	26527179	26529483	26527179	26527645	26528052	26529483
199	"ENSMUSG00000073147.5"	"5031425E22Rik"	chr5	-	23589143	23590170	23589143	23589668	23590072	23590170
200	"ENSMUSG00000039059.12"	"Hrh3"	chr2	-	179742292	179743209	179742292	179742661	179742805	179743209
201	"ENSMUSG00000030329.12"	"Pianp"	chr6	+	124978389	124980059	124978389	124978611	124978925	124980059
202	"ENSMUSG00000117427.2"	"Gm36199"	chr17	+	29684249	29684514	29684249	29684277	29684401	29684514
203	"ENSMUSG00000040370.14"	"Etfrf1"	chr6	+	145160247	145160997	145160247	145160271	145160490	145160997
204	"ENSMUSG00000040370.14"	"Etfrf1"	chr6	+	145160247	145160997	145160247	145160510	145160909	145160997
205	"ENSMUSG00000121504.1"	"Ppp4r1l-ps"	chr2	-	173457275	173458216	173457275	173457369	173458147	173458216
206	"ENSMUSG00000087142.9"	"Gm12454"	chr4	-	43505653	43507963	43505653	43506284	43507776	43507963
207	"ENSMUSG00000119997.1"	"Gm31616"	chr10	-	39244337	39245615	39244337	39244601	39245495	39245615
208	"ENSMUSG00000001017.16"	"Chtop"	chr3	-	90413414	90414933	90413414	90413568	90414851	90414933
209	"ENSMUSG00000001017.16"	"Chtop"	chr3	-	90413414	90414933	90413414	90414565	90414851	90414933
210	"ENSMUSG00000049281.17"	"Scn3b"	chr9	+	40199669	40202914	40199669	40199749	40199839	40202914
211	"ENSMUSG00000096840.4"	"Olfr136"	chr17	+	38645257	38647534	38645257	38645320	38646031	38647534
212	"ENSMUSG00000053907.11"	"Mat2a"	chr6	-	72409781	72412097	72409781	72411378	72411963	72412097
213	"ENSMUSG00000033436.14"	"Armcx2"	chrX	-	133708202	133708474	133708202	133708262	133708369	133708474
214	"ENSMUSG00000100600.7"	"A230077H06Rik"	chr7	-	40524361	40525162	40524361	40524545	40525028	40525162
215	"ENSMUSG00000079434.9"	"Neu2"	chr1	+	87522271	87522811	87522271	87522339	87522599	87522811
216	"ENSMUSG00000051391.10"	"Ywhag"	chr5	-	135937262	135940505	135937262	135937975	135939840	135940505
217	"ENSMUSG00000073702.12"	"Rpl31"	chr1	+	39407009	39407336	39407009	39407087	39407229	39407336
218	"ENSMUSG00000092622.9"	"Khdc3"	chr9	+	73010497	73011720	73010497	73011171	73011624	73011720
219	"ENSMUSG00000120679.1"	"ENSMUSG00000120679"	chr17	-	8490455	8491359	8490455	8490792	8491262	8491359
220	"ENSMUSG00000050994.21"	"Adgb"	chr10	-	10306814	10307143	10306814	10306944	10307025	10307143
221	"ENSMUSG00000036073.19"	"Galt"	chr4	+	41758083	41758695	41758083	41758238	41758502	41758695
222	"ENSMUSG00000029860.17"	"Zyx"	chr6	+	42334785	42335326	42334785	42334919	42335102	42335326
223	"ENSMUSG00000053877.13"	"Srcap"	chr7	+	127118752	127119004	127118752	127118774	127118831	127119004
224	"ENSMUSG00000053877.13"	"Srcap"	chr7	+	127120647	127120833	127120647	127120731	127120732	127120833
225	"ENSMUSG00000100417.4"	"Gm28578"	chr19	-	45326193	45326560	45326193	45326287	45326369	45326560
226	"ENSMUSG00000022995.17"	"Enah"	chr1	-	181746889	181747194	181746889	181747021	181747123	181747194
227	"ENSMUSG00000098894.3"	"Gm27234"	chr9	+	76226917	76228128	76226917	76227019	76227708	76228128
228	"ENSMUSG00000066150.13"	"Slc31a1"	chr4	+	62306103	62310006	62306103	62306272	62306834	62310006
229	"ENSMUSG00000037447.17"	"Arid5a"	chr1	+	36356284	36356743	36356284	36356405	36356690	36356743
230	"ENSMUSG00000049041.7"	"Olfr398"	chr11	-	73880695	73881233	73880695	73880878	73881091	73881233
231	"ENSMUSG00000041845.12"	"Rhod"	chr19	-	4475694	4476789	4475694	4476284	4476607	4476789
232	"ENSMUSG00000094870.9"	"Zfp131"	chr13	-	120237302	120237985	120237302	120237525	120237627	120237985
233	"ENSMUSG00000058407.13"	"Txndc9"	chr1	-	38026474	38029538	38026474	38026860	38029283	38029538
234	"ENSMUSG00000075028.13"	"Prdm11"	chr2	-	92802362	92806206	92802362	92804527	92805594	92806206
235	"ENSMUSG00000036466.18"	"Megf11"	chr9	+	64613008	64616487	64613008	64613215	64613808	64616487
236	"ENSMUSG00000093839.3"	"Olfr462"	chr11	-	87775804	87781199	87775804	87776222	87779778	87781199
237	"ENSMUSG00000027338.17"	"Prnd"	chr2	+	131794928	131798050	131794928	131795502	131796710	131798050
238	"ENSMUSG00000054510.7"	"Gm14461"	chr2	+	77891494	77893474	77891494	77891644	77893360	77893474
239	"ENSMUSG00000054510.7"	"Gm14461"	chr2	+	77891494	77893474	77891494	77891644	77893394	77893474
240	"ENSMUSG00000054589.3"	"Gm9949"	chr18	+	62324474	62325272	62324474	62324556	62325159	62325272
241	"ENSMUSG00000002625.11"	"Akap8l"	chr17	-	32557244	32557488	32557244	32557328	32557430	32557488
242	"ENSMUSG00000037339.18"	"Fam53a"	chr5	-	33757699	33765571	33757699	33758224	33764807	33765571
243	"ENSMUSG00000022756.18"	"Slc7a4"	chr16	-	17391809	17392450	17391809	17391861	17392337	17392450
244	"ENSMUSG00000022756.18"	"Slc7a4"	chr16	-	17392815	17393829	17392815	17392865	17393480	17393829
245	"ENSMUSG00000019194.16"	"Scn1b"	chr7	-	30815948	30816720	30815948	30816561	30816648	30816720
