ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
30	"ENSMUSG00000064181.7"	"Rab3ip"	chr10	-	116746029	116746099	116741688	116743023	116746186	116746286
31	"ENSMUSG00000064181.7"	"Rab3ip"	chr10	-	116751748	116751877	116750001	116750114	116754666	116754870
33	"ENSMUSG00000030750.14"	"Nsmce1"	chr7	-	125068200	125068317	125067450	125067571	125070284	125070431
34	"ENSMUSG00000030750.14"	"Nsmce1"	chr7	-	125070284	125070431	125068200	125068317	125085509	125085656
35	"ENSMUSG00000030750.14"	"Nsmce1"	chr7	-	125071046	125071124	125070284	125070431	125071279	125071401
36	"ENSMUSG00000030750.14"	"Nsmce1"	chr7	-	125071279	125071401	125070284	125070431	125085509	125085656
37	"ENSMUSG00000030750.14"	"Nsmce1"	chr7	-	125071279	125071401	125071046	125071124	125090584	125090768
38	"ENSMUSG00000030750.14"	"Nsmce1"	chr7	-	125085509	125085656	125071279	125071401	125090584	125090768
39	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52363735	52363841	52358449	52358578	52366970	52366994
41	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52382489	52382942	52378579	52378697	52386672	52387088
42	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52382489	52382942	52378579	52378730	52383188	52383340
43	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52382489	52382942	52378579	52378730	52386672	52387088
44	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52383188	52383340	52378579	52378697	52386672	52386830
45	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52383188	52383340	52378579	52378730	52386672	52386830
46	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52383188	52383340	52382489	52382942	52384666	52385009
47	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52383188	52383340	52382489	52382942	52386672	52386830
48	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52384666	52385009	52382489	52382942	52386672	52386830
49	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52384666	52385009	52383188	52383340	52386672	52386830
50	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52386672	52387088	52378579	52378730	52387814	52387950
51	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52387344	52387548	52386672	52387088	52387814	52387950
52	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52389659	52389775	52387814	52387950	52393609	52393802
53	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52396831	52396962	52395826	52395911	52397562	52397675
56	"ENSMUSG00000024870.7"	"Rab1b"	chr19	-	5150694	5150826	5149232	5150600	5154668	5154764
57	"ENSMUSG00000024870.7"	"Rab1b"	chr19	-	5150751	5150826	5150335	5150600	5154668	5154764
58	"ENSMUSG00000024870.7"	"Rab1b"	chr19	-	5154668	5154764	5150415	5150826	5154860	5154956
59	"ENSMUSG00000014867.10"	"Surf4"	chr2	-	26815619	26815696	26814964	26815008	26816780	26816967
61	"ENSMUSG00000021468.9"	"Sptlc1"	chr13	-	53496207	53496262	53491643	53491761	53497163	53497260
62	"ENSMUSG00000027306.16"	"Nusap1"	chr2	+	119454598	119454667	119448778	119449376	119458027	119458174
64	"ENSMUSG00000104713.5"	"Gbp6"	chr5	-	105436792	105436920	105428320	105428430	105438702	105438892
65	"ENSMUSG00000104713.5"	"Gbp6"	chr5	-	105438702	105438892	105436792	105436920	105441491	105441562
66	"ENSMUSG00000036241.4"	"Ube2r2"	chr4	+	41174040	41174127	41135742	41136246	41183244	41183342
67	"ENSMUSG00000036241.4"	"Ube2r2"	chr4	+	41174040	41174127	41135742	41136246	41189151	41189286
68	"ENSMUSG00000036241.4"	"Ube2r2"	chr4	+	41183244	41183342	41135742	41136246	41189151	41189286
69	"ENSMUSG00000036241.4"	"Ube2r2"	chr4	+	41183244	41183342	41174040	41174127	41189151	41189286
70	"ENSMUSG00000032583.8"	"Mon1a"	chr9	+	107775870	107776010	107765349	107765601	107777225	107777714
72	"ENSMUSG00000018672.16"	"Copz2"	chr11	+	96744260	96744342	96741498	96741567	96745409	96745465
73	"ENSMUSG00000018672.16"	"Copz2"	chr11	+	96744883	96744975	96744260	96744342	96745409	96745465
74	"ENSMUSG00000018672.16"	"Copz2"	chr11	+	96748378	96748417	96747497	96747549	96751688	96752029
75	"ENSMUSG00000029635.16"	"Cdk8"	chr5	+	146229433	146229577	146222917	146223049	146231972	146232042
76	"ENSMUSG00000029635.16"	"Cdk8"	chr5	+	146229448	146229577	146222917	146223049	146231972	146232042
77	"ENSMUSG00000117286.2"	"Gm1043"	chr5	+	37257979	37258189	37248470	37248965	37262156	37262303
78	"ENSMUSG00000117286.2"	"Gm1043"	chr5	+	37259108	37259228	37257979	37258189	37262156	37262303
79	"ENSMUSG00000117286.2"	"Gm1043"	chr5	+	37262156	37262303	37259108	37259228	37264602	37264662
80	"ENSMUSG00000117286.2"	"Gm1043"	chr5	+	37262954	37263095	37262156	37262303	37264602	37264662
81	"ENSMUSG00000117286.2"	"Gm1043"	chr5	+	37280623	37280686	37278284	37278368	37282220	37282319
82	"ENSMUSG00000117286.2"	"Gm1043"	chr5	+	37285348	37285402	37284720	37284822	37285934	37286000
83	"ENSMUSG00000117286.2"	"Gm1043"	chr5	+	37285934	37286000	37285348	37285402	37291580	37291649
84	"ENSMUSG00000026622.16"	"Nek2"	chr1	+	191561503	191561629	191559261	191559481	191563248	191565162
87	"ENSMUSG00000102069.2"	"1700012I11Rik"	chr15	+	67123018	67123060	67111491	67111571	67123565	67123611
88	"ENSMUSG00000102069.2"	"1700012I11Rik"	chr15	+	67156914	67156979	67123565	67123611	67244709	67244816
89	"ENSMUSG00000036594.16"	"H2-Aa"	chr17	-	34502548	34502830	34502128	34502303	34503261	34503510
91	"ENSMUSG00000072718.7"	"Klra10"	chr6	-	130257300	130257390	130256231	130256450	130258773	130258891
93	"ENSMUSG00000036819.15"	"Jmjd4"	chr11	+	59345758	59345905	59344617	59344885	59346132	59349299
94	"ENSMUSG00000032093.8"	"Cd3e"	chr9	-	44918473	44918491	44916809	44916824	44920645	44920747
96	"ENSMUSG00000024030.8"	"Abcg1"	chr17	+	31311282	31311400	31283358	31283602	31313619	31313752
97	"ENSMUSG00000024030.8"	"Abcg1"	chr17	+	31324490	31324614	31323010	31323156	31325033	31325148
98	"ENSMUSG00000021665.10"	"Hexb"	chr13	-	97317589	97317676	97315851	97315924	97318340	97318521
99	"ENSMUSG00000021665.10"	"Hexb"	chr13	-	97325813	97325860	97325469	97325580	97327720	97327786
100	"ENSMUSG00000021665.10"	"Hexb"	chr13	-	97330629	97330775	97327720	97327786	97334533	97334865
101	"ENSMUSG00000024442.7"	"Dele1"	chr18	+	38391080	38391239	38390310	38390453	38391322	38391415
102	"ENSMUSG00000031766.5"	"Slc12a3"	chr8	+	95072402	95072514	95071421	95071521	95072909	95073050
104	"ENSMUSG00000032750.14"	"Gab3"	chrX	-	74048921	74048977	74047929	74048137	74068383	74068862
105	"ENSMUSG00000032750.14"	"Gab3"	chrX	-	74048921	74048977	74047929	74048137	74128273	74128511
106	"ENSMUSG00000032750.14"	"Gab3"	chrX	-	74068383	74068862	74048921	74048977	74069594	74069811
107	"ENSMUSG00000032750.14"	"Gab3"	chrX	-	74069594	74069811	74048921	74048977	74076776	74077080
110	"ENSMUSG00000032750.14"	"Gab3"	chrX	-	74076776	74077080	74069594	74069811	74128273	74128363
111	"ENSMUSG00000027829.16"	"Ccnl1"	chr3	-	65858854	65858975	65857900	65857965	65864273	65864383
112	"ENSMUSG00000027829.16"	"Ccnl1"	chr3	-	65864921	65864996	65864273	65864383	65865228	65865670
113	"ENSMUSG00000020918.15"	"Kat2a"	chr11	-	100596908	100597023	100596784	100596821	100597175	100597319
115	"ENSMUSG00000033669.9"	"Zfp7"	chr15	+	76764938	76764982	76763458	76763553	76765311	76765438
116	"ENSMUSG00000025413.14"	"Ttc4"	chr4	-	106527645	106527732	106525233	106525451	106531607	106531685
117	"ENSMUSG00000025413.14"	"Ttc4"	chr4	-	106528820	106528945	106527645	106527732	106531607	106531685
118	"ENSMUSG00000025413.14"	"Ttc4"	chr4	-	106531607	106531685	106528820	106528945	106535381	106535499
119	"ENSMUSG00000025413.14"	"Ttc4"	chr4	-	106533794	106533956	106531607	106531685	106535381	106535499
120	"ENSMUSG00000062310.8"	"Glrp1"	chr1	-	88430863	88431272	88427592	88428864	88437512	88437788
121	"ENSMUSG00000020323.15"	"Prss57"	chr10	-	79621588	79621733	79620179	79620443	79623191	79623345
122	"ENSMUSG00000020323.15"	"Prss57"	chr10	-	79621588	79621733	79620179	79620443	79624676	79624819
123	"ENSMUSG00000020323.15"	"Prss57"	chr10	-	79623191	79623345	79620179	79620443	79624676	79624819
124	"ENSMUSG00000020323.15"	"Prss57"	chr10	-	79623191	79623345	79621588	79621733	79624676	79624819
126	"ENSMUSG00000032561.16"	"Acpp"	chr9	-	104201841	104201928	104201250	104201403	104204079	104204175
127	"ENSMUSG00000032561.16"	"Acpp"	chr9	-	104204079	104204175	104201841	104201928	104214741	104214906
128	"ENSMUSG00000010021.14"	"Kif19a"	chr11	+	114669179	114669290	114657981	114658062	114670410	114670547
129	"ENSMUSG00000010021.14"	"Kif19a"	chr11	+	114670037	114670125	114669179	114669290	114670410	114670547
130	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171104858	171104901	171104564	171104772	171105019	171105169
131	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171105266	171105377	171105019	171105169	171105454	171105573
132	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171105454	171105573	171105266	171105377	171105707	171105768
133	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171105707	171105768	171105266	171105377	171106696	171106887
134	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107442	171107575	171107003	171107148	171107713	171107829
135	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107442	171107575	171107003	171107148	171107961	171108096
136	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107713	171107829	171107003	171107148	171107961	171108096
137	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107713	171107829	171107442	171107575	171107961	171108096
138	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107961	171108096	171107003	171107148	171108446	171108760
139	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107961	171108096	171107713	171107829	171108247	171108342
140	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171108247	171108342	171107961	171108096	171108446	171108760
141	"ENSMUSG00000047213.15"	"Ythdf3"	chr3	+	16238085	16238110	16237375	16237684	16243641	16243727
143	"ENSMUSG00000047213.15"	"Ythdf3"	chr3	+	16243641	16243727	16238085	16238110	16257989	16259588
144	"ENSMUSG00000047213.15"	"Ythdf3"	chr3	+	16257350	16257383	16243641	16243727	16257989	16259588
145	"ENSMUSG00000047213.15"	"Ythdf3"	chr3	+	16257989	16259588	16243641	16243727	16268118	16269170
146	"ENSMUSG00000019774.9"	"Mtrf1l"	chr10	-	5765551	5765669	5764040	5764177	5767448	5767612
147	"ENSMUSG00000019774.9"	"Mtrf1l"	chr10	-	5768800	5768984	5767448	5767612	5770024	5770104
148	"ENSMUSG00000019774.9"	"Mtrf1l"	chr10	-	5770024	5770104	5767448	5767612	5773525	5773910
149	"ENSMUSG00000103270.3"	"Gm37915"	chr1	+	40819621	40819802	40810544	40813255	40824134	40824503
150	"ENSMUSG00000043019.13"	"Edem3"	chr1	+	151635488	151635534	151631121	151631478	151646582	151646683
151	"ENSMUSG00000043019.13"	"Edem3"	chr1	+	151668078	151668176	151660489	151660595	151670426	151670552
155	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116566204	116566291	116565830	116565853	116566634	116566816
156	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116566436	116566470	116565705	116566291	116566634	116566816
157	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116566436	116566470	116565705	116566291	116566678	116566816
158	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116566458	116566470	116565767	116565853	116566634	116566816
159	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116568507	116568575	116567297	116567481	116569568	116569636
160	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116568507	116568575	116567297	116567481	116572036	116572296
161	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116569568	116569636	116567297	116567481	116569919	116570023
162	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116569568	116569636	116567297	116567481	116571284	116571346
163	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116569919	116570023	116567297	116567481	116571284	116571346
164	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116569919	116570023	116567297	116567481	116572036	116572296
165	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116569919	116570023	116569568	116569636	116571284	116571346
166	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116571284	116571346	116567297	116567481	116572036	116572300
167	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116571284	116571346	116569919	116570023	116572036	116572300
169	"ENSMUSG00000006005.19"	"Tpr"	chr1	+	150270949	150271054	150269000	150269409	150274350	150274424
170	"ENSMUSG00000006005.19"	"Tpr"	chr1	+	150274350	150274424	150270949	150271054	150278005	150278102
171	"ENSMUSG00000006005.19"	"Tpr"	chr1	+	150278005	150278102	150270949	150271054	150279348	150279452
172	"ENSMUSG00000006005.19"	"Tpr"	chr1	+	150279625	150279790	150279348	150279452	150282212	150282305
173	"ENSMUSG00000006005.19"	"Tpr"	chr1	+	150283079	150283160	150282212	150282305	150283240	150283328
174	"ENSMUSG00000006005.19"	"Tpr"	chr1	+	150283240	150283328	150282212	150282305	150284494	150284635
175	"ENSMUSG00000006005.19"	"Tpr"	chr1	+	150323262	150323381	150321835	150321992	150324893	150324989
176	"ENSMUSG00000072770.10"	"Acrbp"	chr6	+	125028205	125028323	125027809	125027904	125030452	125030915
177	"ENSMUSG00000072770.10"	"Acrbp"	chr6	+	125030452	125030915	125028205	125028323	125031635	125031768
178	"ENSMUSG00000072770.10"	"Acrbp"	chr6	+	125039398	125039482	125038048	125038216	125039898	125040230
179	"ENSMUSG00000003873.12"	"Bax"	chr7	-	45112822	45112927	45111120	45111386	45114612	45114748
180	"ENSMUSG00000003873.12"	"Bax"	chr7	-	45112822	45112927	45111120	45111390	45114612	45114748
181	"ENSMUSG00000003873.12"	"Bax"	chr7	-	45115643	45115695	45115400	45115547	45116165	45116260
182	"ENSMUSG00000031523.17"	"Dlc1"	chr8	-	37404713	37405912	37325079	37325229	37419274	37419596
184	"ENSMUSG00000049658.14"	"Bdp1"	chr13	-	100215166	100215307	100214339	100214621	100225860	100225955
185	"ENSMUSG00000049658.14"	"Bdp1"	chr13	-	100220648	100220703	100215166	100215307	100225860	100225955
186	"ENSMUSG00000102805.6"	"Gm37240"	chr3	-	84422939	84423097	84417114	84417289	84426788	84427010
187	"ENSMUSG00000102805.6"	"Gm37240"	chr3	-	84426788	84427010	84422939	84423097	84434992	84435105
188	"ENSMUSG00000042797.10"	"Aqp11"	chr7	-	97378177	97378294	97373212	97375911	97386575	97387496
189	"ENSMUSG00000050241.9"	"Klre1"	chr6	+	129556880	129557080	129554867	129555328	129558964	129559066
190	"ENSMUSG00000050241.9"	"Klre1"	chr6	+	129558964	129559066	129556880	129557080	129559354	129559393
191	"ENSMUSG00000050241.9"	"Klre1"	chr6	+	129561108	129561209	129560051	129560197	129562545	129562790
192	"ENSMUSG00000007812.17"	"Zfp655"	chr5	+	145170250	145170412	145168524	145168641	145179729	145179834
193	"ENSMUSG00000007812.17"	"Zfp655"	chr5	+	145172115	145172201	145170250	145170412	145172546	145172673
198	"ENSMUSG00000007812.17"	"Zfp655"	chr5	+	145179729	145179834	145170250	145170412	145180384	145184111
199	"ENSMUSG00000021051.11"	"Ppp2r5e"	chr12	-	75531905	75531998	75516505	75516636	75540187	75540289
201	"ENSMUSG00000021051.11"	"Ppp2r5e"	chr12	-	75562375	75562572	75540187	75540289	75639942	75640106
203	"ENSMUSG00000038831.17"	"Ralgps1"	chr2	-	33045299	33045351	33036581	33036665	33047783	33047941
205	"ENSMUSG00000038831.17"	"Ralgps1"	chr2	-	33163572	33163665	33150489	33150616	33166157	33166247
206	"ENSMUSG00000038831.17"	"Ralgps1"	chr2	-	33166157	33166247	33150489	33150616	33174836	33174920
207	"ENSMUSG00000038831.17"	"Ralgps1"	chr2	-	33214664	33214715	33174836	33174920	33226524	33226632
208	"ENSMUSG00000038831.17"	"Ralgps1"	chr2	-	33226524	33226632	33214664	33214715	33230724	33230845
210	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14701868	14702029	14698173	14698306	14707066	14707154
211	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14714059	14714245	14710851	14710966	14716651	14716823
212	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14714059	14714245	14710851	14710966	14721099	14721180
213	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14716651	14716823	14710851	14710966	14721099	14721180
214	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14716651	14716823	14714059	14714245	14721099	14721180
215	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14721099	14721180	14716651	14716823	14723125	14723252
216	"ENSMUSG00000031928.16"	"Mre11a"	chr9	+	14736436	14736653	14730711	14730774	14737830	14737911
217	"ENSMUSG00000034226.8"	"Rhov"	chr2	-	119101162	119101221	119099681	119100968	119101396	119101753
218	"ENSMUSG00000033106.7"	"Slc7a6os"	chr8	-	106930962	106931172	106928862	106928983	106936996	106937263
219	"ENSMUSG00000033106.7"	"Slc7a6os"	chr8	-	106936996	106937263	106930962	106931172	106937350	106937565
220	"ENSMUSG00000024451.10"	"Arap3"	chr18	-	38107154	38107193	38105680	38106704	38107417	38107555
221	"ENSMUSG00000010911.13"	"Apip"	chr2	+	102913299	102913400	102904019	102904186	102918905	102919023
222	"ENSMUSG00000010911.13"	"Apip"	chr2	+	102917457	102917506	102913299	102913400	102918905	102919023
223	"ENSMUSG00000010911.13"	"Apip"	chr2	+	102922093	102922261	102919747	102919883	102922809	102922989
224	"ENSMUSG00000060550.17"	"H2-Q7"	chr17	+	35661242	35661518	35658884	35659160	35661653	35661703
225	"ENSMUSG00000060550.17"	"H2-Q7"	chr17	+	35661242	35661527	35658884	35659160	35661653	35661770
229	"ENSMUSG00000060550.17"	"H2-Q7"	chr17	+	35661942	35661975	35658884	35659160	35662324	35662710
230	"ENSMUSG00000027368.7"	"Dusp2"	chr2	+	127179168	127179388	127178696	127178818	127179500	127180296
235	"ENSMUSG00000022607.19"	"Ptk2"	chr15	-	73264192	73264296	73263607	73263729	73266496	73266593
237	"ENSMUSG00000014748.14"	"Tex261"	chr6	-	83748428	83748531	83745866	83748285	83749223	83749291
238	"ENSMUSG00000014748.14"	"Tex261"	chr6	-	83749223	83749291	83745866	83748285	83750691	83750845
239	"ENSMUSG00000014748.14"	"Tex261"	chr6	-	83749223	83749291	83745866	83748285	83751999	83752079
240	"ENSMUSG00000014748.14"	"Tex261"	chr6	-	83750691	83750845	83745866	83748285	83751999	83752079
241	"ENSMUSG00000014748.14"	"Tex261"	chr6	-	83750691	83750845	83749223	83749291	83751999	83752079
242	"ENSMUSG00000028101.19"	"Pias3"	chr3	+	96606735	96607153	96603699	96603847	96607308	96607393
243	"ENSMUSG00000028101.19"	"Pias3"	chr3	+	96611374	96611508	96611054	96611223	96611664	96611702
244	"ENSMUSG00000006273.15"	"Atp6v1b2"	chr8	+	69554815	69554893	69554587	69554681	69555102	69555242
245	"ENSMUSG00000006273.15"	"Atp6v1b2"	chr8	+	69562531	69562661	69560934	69561039	69565081	69566363
246	"ENSMUSG00000004268.12"	"Emg1"	chr6	-	124681901	124682051	124681343	124681621	124682120	124682179
247	"ENSMUSG00000004268.12"	"Emg1"	chr6	-	124682120	124682179	124681901	124682051	124688838	124689141
248	"ENSMUSG00000004268.12"	"Emg1"	chr6	-	124682477	124682619	124682120	124682179	124688838	124689141
249	"ENSMUSG00000004268.12"	"Emg1"	chr6	-	124682703	124682805	124681901	124682051	124688838	124689141
250	"ENSMUSG00000004268.12"	"Emg1"	chr6	-	124682703	124682805	124682477	124682619	124688838	124689141
251	"ENSMUSG00000063458.14"	"Lrmda"	chr14	+	22646492	22646610	22077294	22077395	22878756	22878850
252	"ENSMUSG00000063458.14"	"Lrmda"	chr14	+	22646492	22646610	22634473	22634613	22878756	22878850
253	"ENSMUSG00000063458.14"	"Lrmda"	chr14	+	22734896	22734960	22646492	22646610	22878756	22878850
254	"ENSMUSG00000063458.14"	"Lrmda"	chr14	+	22878756	22878850	22077294	22077395	23106022	23106153
256	"ENSMUSG00000022969.14"	"Il10rb"	chr16	+	91204505	91204629	91203122	91203260	91208770	91208928
257	"ENSMUSG00000022969.14"	"Il10rb"	chr16	+	91208770	91208928	91204505	91204629	91211500	91211667
258	"ENSMUSG00000047694.13"	"Yipf6"	chrX	+	97983378	97983507	97981366	97981894	97984392	97984435
259	"ENSMUSG00000047694.13"	"Yipf6"	chrX	+	97983727	97983806	97983378	97983507	97984392	97984435
260	"ENSMUSG00000047694.13"	"Yipf6"	chrX	+	97984392	97984435	97983727	97983806	97986383	97986512
261	"ENSMUSG00000047694.13"	"Yipf6"	chrX	+	97987083	97987241	97986383	97986512	97988478	97988737
264	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35102434	35102593	35097414	35097521	35105042	35105220
265	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35113568	35113597	35109005	35109117	35115841	35115884
266	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35115841	35115884	35109005	35109117	35117066	35117285
267	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35122724	35122828	35120299	35120383	35124081	35124197
268	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35122724	35122828	35120299	35120383	35127024	35127205
269	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35124081	35124197	35120299	35120383	35127024	35127205
270	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35124081	35124197	35122724	35122828	35127024	35127205
271	"ENSMUSG00000023072.15"	"Cep89"	chr7	+	35127024	35127205	35124081	35124197	35127624	35127792
272	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68911855	68912019	68906736	68906991	68913202	68913440
273	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68913534	68913746	68913202	68913440	68914987	68915132
274	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68924192	68924367	68924008	68924097	68924784	68924862
275	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68924192	68924367	68924008	68924097	68925709	68925774
276	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68924784	68924862	68924008	68924097	68925709	68925774
277	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68924784	68924862	68924192	68924367	68925709	68925774
278	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68925460	68925605	68924784	68924862	68925709	68925774
279	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68925709	68925774	68924784	68924862	68926330	68926496
280	"ENSMUSG00000059475.14"	"Zfp426"	chr9	-	20386202	20386329	20384323	20384404	20397625	20397733
281	"ENSMUSG00000059475.14"	"Zfp426"	chr9	-	20387691	20387774	20386202	20386329	20389428	20389453
284	"ENSMUSG00000059475.14"	"Zfp426"	chr9	-	20397625	20397733	20389428	20389550	20403681	20403747
285	"ENSMUSG00000059475.14"	"Zfp426"	chr9	-	20401976	20402778	20397625	20397733	20403681	20404042
286	"ENSMUSG00000029551.14"	"Psmg3"	chr5	-	139811882	139812119	139809346	139809828	139812476	139812640
287	"ENSMUSG00000059852.8"	"Kcng2"	chr18	-	80365687	80366385	80337760	80339623	80383655	80383811
288	"ENSMUSG00000028525.17"	"Pde4b"	chr4	+	102448027	102448121	102427291	102428075	102453130	102453309
289	"ENSMUSG00000028525.17"	"Pde4b"	chr4	+	102456839	102456939	102454890	102455055	102458729	102458884
290	"ENSMUSG00000028525.17"	"Pde4b"	chr4	+	102459783	102459966	102458975	102459098	102462170	102462733
294	"ENSMUSG00000030589.16"	"Rasgrp4"	chr7	+	28848411	28848556	28848198	28848317	28849223	28849260
295	"ENSMUSG00000030589.16"	"Rasgrp4"	chr7	+	28848411	28848571	28848198	28848317	28849223	28849260
296	"ENSMUSG00000027961.8"	"Lrrc39"	chr3	+	116362407	116362513	116359378	116359569	116363647	116363804
297	"ENSMUSG00000027961.8"	"Lrrc39"	chr3	+	116363647	116363804	116362407	116362513	116371067	116371213
298	"ENSMUSG00000027961.8"	"Lrrc39"	chr3	+	116364486	116364623	116363647	116363804	116371067	116371213
